Estación,Ubicación
Pacífico,https://www.google.com/maps/place/Estaci%C3%B3n+Pacifico+-+Metropolitano/@-11.9946873,-77.0572056,18z/data=!4m6!3m5!1s0x9105cfac0993618d:0x5ee2ef7c75e60dbb!8m2!3d-11.994758!4d-77.0560737!16s%2Fg%2F11pc9myl29?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Independencia,https://www.google.com/maps/place/Estaci%C3%B3n+Independencia/@-11.9985058,-77.0558955,19z/data=!3m1!4b1!4m6!3m5!1s0x9105cf00158e1bdf:0xfd83d0914fba0d48!8m2!3d-11.9985058!4d-77.0552504!16s%2Fg%2F11sgl676wd?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Los Jazmines,https://www.google.com/maps/place/Estaci%C3%B3n+Los+Jazmines+-+Metropolitano/@-12.0002854,-77.0558648,18z/data=!4m6!3m5!1s0x9105cff871d6a023:0x43eb4d660b55a4a5!8m2!3d-12.0018024!4d-77.0548037!16s%2Fg%2F11jzd4c608?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Tomás Valle,google.com/maps/place/Estación+Tomás+Valle+-+Metropolitano/@-12.0067706,-77.0540543,21z/data=!4m13!1m7!3m6!1s0x9105cf00158e1bdf:0xfd83d0914fba0d48!2sEstación+Independencia!8m2!3d-11.9985058!4d-77.0552504!16s%2Fg%2F11sgl676wd!3m4!1s0x9105cf4053b679d3:0x8eae448fb18e8eb8!8m2!3d-12.0066832!4d-77.0539541?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
El Milagro,https://www.google.com/maps/place/Estaci%C3%B3n+El+Milagro+-+Metropolitano/@-12.0113501,-77.0535577,18.8z/data=!4m14!1m7!3m6!1s0x9105cf00158e1bdf:0xfd83d0914fba0d48!2sEstaci%C3%B3n+Independencia!8m2!3d-11.9985058!4d-77.0552504!16s%2Fg%2F11sgl676wd!3m5!1s0x9105cf001a435c33:0x716794fd9232db32!8m2!3d-12.0112372!4d-77.0529399!16s%2Fg%2F11vk7hmvq8?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Honorio Delgado,https://www.google.com/maps/place/Estaci%C3%B3n+Honorio+Delgado+-+Metropolitano/@-12.0175984,-77.0519241,19z/data=!4m14!1m7!3m6!1s0x9105cf00158e1bdf:0xfd83d0914fba0d48!2sEstaci%C3%B3n+Independencia!8m2!3d-11.9985058!4d-77.0552504!16s%2Fg%2F11sgl676wd!3m5!1s0x9105cf1f3819164f:0x51cecfaad283ba5!8m2!3d-12.0178703!4d-77.0514378!16s%2Fg%2F11c1mz4j74?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
UNI,https://www.google.com/maps/place/Estaci%C3%B3n+UNI+Metropolitano/@-12.024196,-77.0495167,19z/data=!3m1!4b1!4m6!3m5!1s0x9105cfca9b2abddf:0xcd9823df02174ff5!8m2!3d-12.024196!4d-77.0488716!16s%2Fg%2F11khzj7w0x?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Parque del Trabajo,https://www.google.com/maps/place/Estaci%C3%B3n+parque+del+trabajo+-+metropolitano/@-12.0302297,-77.0446841,19z/data=!4m14!1m7!3m6!1s0x9105cf3010017503:0x1923b0c9eb4f3427!2sEstaci%C3%B3n+Parque+del+Trabajo!8m2!3d-12.0303952!4d-77.0443422!16s%2Fg%2F11bbt0ykm2!3m5!1s0x9105cf8a9e1fc7c3:0x4b67bea3fc01c1d9!8m2!3d-12.0299693!4d-77.0441872!16s%2Fg%2F11txf4m2_h?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Caquetá,https://www.google.com/maps/place/Estaci%C3%B3n+Caquet%C3%A1/@-12.0362957,-77.0456603,17.2z/data=!4m14!1m7!3m6!1s0x9105cf3010017503:0x1923b0c9eb4f3427!2sEstaci%C3%B3n+Parque+del+Trabajo!8m2!3d-12.0303952!4d-77.0443422!16s%2Fg%2F11bbt0ykm2!3m5!1s0x9105cf2199fe2455:0xb20984b5a35b6d03!8m2!3d-12.036372!4d-77.0436608!16s%2Fg%2F11frqtsn_p?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
Ramón Castilla,https://www.google.com/maps/place/Estaci%C3%B3n+Castilla/@-12.044142,-77.0424123,18.8z/data=!4m14!1m7!3m6!1s0x9105cf3010017503:0x1923b0c9eb4f3427!2sEstaci%C3%B3n+Parque+del+Trabajo!8m2!3d-12.0303952!4d-77.0443422!16s%2Fg%2F11bbt0ykm2!3m5!1s0x9105c8cc57e4b4e3:0xe3dc537b29670376!8m2!3d-12.044068!4d-77.0413799!16s%2Fg%2F11b6rvm3gk?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
