CodigoRuta,CodigoAntiguo,Alias de la Ruta,Origen,Destino,EmpresaOperadora,AbreviaturaEmpresa,AsignacionATU
1189,2404,"La 35B",San Martín de Porres,La Molina,Empresa de Transportes y Servicios El Inti S.A.,ETINSA,Sí
1190,2405,Ninguno,San Martín de Porres,Santa Anita,Empresa de Servicios y Transportes Inversiones El Rápido S.A.,ESTIRSA,Sí
1191,2406,"La 35A",San Martín de Porres,Ate,Empresa de Transportes y Servicios Múltiples Los Excelentes Unidos S.A.,,Sí
1192,2407,Ninguno,Independencia,Ate,Empresa de Transportes y Servicios El Sol de Santa Clara S.A.,ETISSA,Sí
1193,2408,"La 148",Independencia,Ate,Empresa de Transportes Virgen de la Concepción S.A.,ETVIRCOSA,Sí
1194,2409,"La B",San Martín de Porres,Ate,Empresa Virgen de Fátima S.A.,EVIFASA,Sí
1195,2411,"La 42 - El Rápido",San Martín de Porres,Lurigancho/Chosica,Empresa de Transportes y Servicios El Rápido S.A. / Grupo Empresarial El Rápido S.A.,,Sí
1196,2414,"La A",Los Olivos,Santa Anita,Transportes Cruz del Centro S.A.,,Sí
1197,2701,"La 44A",San Martín de Porres,Santiago de Surco,Empresa de Transportes Diecisiete de Junio S.A.,ETRADIJUSA,Sí
1199,2703,"La 36",San Martín de Porres,Chorrillos,Empresa de Transportes 36 San Martín de Porres S.A.,ET36SMPSA,Sí
1200,2803,"La 9A",Lince,Villa María del Triunfo,Transportes Ingaruca S.A.C. / Transportes 17 de Noviembre S.A.,,Sí
1203,3203,"La C - La 128 - La San Germán",San Juan de Lurigancho,San Martín de Porres,Transportes e Inversiones San Germán S.A.,TISGSA,Sí
1204,3205,"La 2H",San Juan de Lurigancho,San Martín de Porres,Empresa de Transportes y Servicios Huancayo City S.A.,ETHUCSA 2H,Sí
1205,3502,"La E",El Agustino,San Miguel,Empresa de Transporte y Servicios Vargasant S.A.C. / Empresa de Transporte y Servicios Niño Emanuel S.A.C.,,Sí
1207,3507,"La C1",San Juan de Lurigancho,San Miguel,Empresa de Transportes y Servicios La Huayrona S.A.,,Sí
1210,4102,Ninguno,Santa Anita,Carabayllo,San Felipe Express S.A.,,Sí
1214,4210,"La 32A",Ate,San Martín de Porres,Empresa de Transportes Virgen de La Asunción S.A.,ETVASA,Sí
1218,4506/129p,"El Chosicano",Ricardo Palma,San Miguel,Empresa de Transportes y Servicios Lima Chosica S.A.,ETYSLCHSA,Sí
1219,4512,"La B",Lurigancho/Chosica,San Miguel,Vargasant S.A.C.,,Sí
1220,4513,Ninguno,Lurigancho/Chosica,Lima,Empresa de Transportes y Servicios Peralitos S.A.,,Sí
1221,4516,"La 20",Ate,San Miguel,Empresa de Transportes y Servicios Los Expertos y Somos Más S.A.,,Sí
1222,4901,"La 19 - La N",Lurigancho/Chosica,Callao,Empresa de Transportes y Servicios San Cristóbal Palcamayo S.A.,,Sí
