codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex
8729,1128,Pachacámac,Santiago de Surco,Carrocerías Rivera,,La G - La 65,#41ABE5
8803,1129,Pachacámac,Pachacámac,San Juan de Dios,ETSAJUDSA,La A - La B,#070DAA
9503,1130,Carmen de la Legua,Lima,Once de Noviembre,EMPTONSA,Ninguno,#20BA2F
9601,1131,Ventanilla,La Victoria,Virgen de La Puerta,VIPUSA,La D,#09BF16
9605,1132,Callao,La Victoria,Múltiples Satélite,ETRASEMUSSA,El Urbanito,#00B212
CR04,1133,La Punta,Lima,Señor del Mar,ETSMARSA,Ninguno,#8D17E8
CR07,1134,Callao,La Perla,La Estrella,ETSESAC,La A,#3088CC
CR09,1135,Callao,Lima,Mariscal Ramón Castilla,,La 105,#939393
CR10,1136,Callao,Lima,Consorcio Nueva Unión,,La 120,#8C6042
CR12,1137,Carabayllo,La Victoria,San Antonio,,Ninguno,#DF2121
CR17,1138,Carabayllo,San Miguel,Chimpum Callao,,Ninguno,#F6FE0F
CR27,1139,Comas,Pueblo Libre,Consorcio Grupo Uvita,,Ninguno,#4E179A
CR30,1140,Callao,Lima,Milagroso Inmaculado Señor Cautivo de Ayabaca,ETMISCASA,Ninguno,#A321BD
CR31,1141,Callao,Santiago de Surco,Fondo Colectivo de Ayuda Mutua,ETFOCAMSA,Ninguno,#BA0707
CR32,1142,Ventanilla,Lima,Proyecto 7,,Ninguno,#F5D509
CR38,1143,Callao,Santiago de Surco,Gruplan,,La 524,#FFE228
CR40,1144,Callao,Lima,Conexos Néstor Gambetta,,Ninguna,#28B0FF
CR43,1145,Carabayllo,La Victoria,Callao,TRANSCALLAO,Ninguno,#A9927E
CR45,1146,La Punta,Lima,San Benito de Palermo,ETSABEPSA,Ninguno,#EDB312
CR46,1147,La Punta,Lima,Generales Colonial,,Ninguno,#FF00A1
CR47,1148,Callao,Lima,Waylluy,,Ninguno,#9F1313
CR48,1149,Callao,Lima,Waylluy,,Ninguno,#06AC43
CR52,1150,Callao,Lima,102,,Ninguno,#EEFE12
CR56,1151,Ventanilla,Lima,Mi Perú Ventanilla,EPTEVESA,Ninguno,#AD3910
CR61,1152,Ventanilla,Lima,Lima Ventanilla Turismo,LIVENTUR,Ninguno,#1B9723
CR62,1153,Carabayllo,Carabayllo,San Ignacio de Loyola,ETRASILSA,Ninguno,#A01111
CR69,1154,Carabayllo,Pueblo Libre,Consorcio Briza,,Ninguno,#120DA4
CR78,1155,Callao,Lima,Holrex,,Ninguno,#FE850D
ICR02B,1156,Callao,Lima,Nuevo Reynoso,ETYSNURSA,Ninguno,#00EEFF
IM19,1157,Ventanilla,Lima,Sol y Mar,,Ninguno,#40961B
IM20,1158,Ventanilla,Lima,SIT,SIT,Ninguno,#FEFF28
IM21,1159,Callao,Jesús María,Translima,,La 21,#0098FF
IM34B,1160,Ventanilla,Ate,Chimpum Callao,,La OP,#FF8528
IM40,1161,Callao,Ate,Víctor Raúl Haya de La Torre,ETVRHTSA,La 89,#42A50D
IM47,1162,Callao,San Miguel,Consorcio Briza,,Ninguno,#B10D01
IO14,1163,Mi Perú,Santiago de Surco,Avagon,,La SV,#28FFD4
IO19,1164,Callao,Independencia,Corazón de Jesús,CTCJ,Ninguno,#000BB2
IO38B,1165,Los Olivos,Callao,Consorcio Briza,,Ninguno,#0010FF
IO44B,1166,Carabayllo,San Miguel,Vía Bus,ETVIBUSAC,Ninguno,#022DFF
IO45,1167,Carabayllo,Callao,Consorcio Briza,,Ninguno,#6B4F46
IO47,1168,Ventanilla,Lince,La Nueva Estrella,,Ninguno,#FFA304
IO75B,1169,Mi Perú,Lima,Cielo Mar y Tierra,ETCIMATISA,Ninguno,#808080
OM09,1170,Callao,Lima,Perla Argentina,PASA,La 93,#18D6C9
OM16,1171,Santa Rosa,La Victoria,Álamo Express,ETALEXSA,La DC - La SB,#00B8FF
OM23,1172,San Martín de Porres,Rímac,Niño Jesús,ETUNIJESA,Ninguno,#078DD1
OM32,1173,San Martín de Porres,Santiago de Surco,Consorcio Movil Express,,La 9V,#0CBE00
OM33,1174,San Martín de Porres,San Martín de Porres,Los Ángeles del Perú,CILAP,La D1,#FF0000
1308,1175,Puente Piedra,San Juan de Lurigancho,Pegasso Express,,La P,#01A9FD
1404,1176,Comas,Ate,Virgen de La Puerta,EVIPUSA,La 6M - La Collique,#FF9E00
1411,1177,Carabayllo,Ate,Cruz del Centro,,La 02,#002EC9
1412,1178,Carabayllo,Ate,La Encantada,,La E,#01A9FD
1701,1179,Ancón,Santiago de Surco,Turismo e Inversiones Señor de La Soledad,SESOSA,El Anconero,#939393
1702,1180,Carabayllo,San Juan de Miraflores,Nueva América,TRANSNASA,La A,#FA8E00
1703,1181,Puente Piedra,Chorrillos,Perú,,La 70,#34A908
1704,1182,Carabayllo,San Juan de Miraflores,Vencedores C&P Inversiones,,La V,#2859FF
1706,1183,Carabayllo,Santiago de Surco,Urano Tours,,La A,#A64119
1801,1184,Santa Rosa,Pachacámac,Edilberto Ramos,ETERSAC,La B39 - La C,#00B8FF
1802,1185,Puente Piedra,Villa El Salvador,Urbano Los Chinos,ETUCHISA,La A - El Chino,#00B8FF
2303,1187,San Martín de Porres,San Juan de Lurigancho,Señor Nazareno,,Ninguno,#FFA304
2404,1189,San Martín de Porres,La Molina,El Inti,ETINSA,La 35B,#24A011
2405,1190,San Martín de Porres,Santa Anita,Inversiones El Rápido,ESTIRSA,Ninguno,#0738FF
2406,1191,San Martín de Porres,Ate,Los Excelentes Unidos,,La 35A,#0EAE03
2407,1192,Independencia,Ate,El Sol de Santa Clara,ETISSA,Ninguno,#FFEE00
2408,1193,Independencia,Ate,Virgen de la Concepción,ETVIRCOSA,La 148,#A31E0F
2409,1194,San Martín de Porres,Ate,Virgen de Fátima,EVIFASA,La B,#4F8ED8
2411,1195,San Martín de Porres,Lurigancho/Chosica,El Rápido,,La 42 - El Rápido,#D90000
2414,1196,Los Olivos,Santa Anita,Cruz del Centro,,La A,#0005CC
2701,1197,San Martín de Porres,Santiago de Surco,Diecisiete de Junio,ETRADIJUSA,La 44A,#EA1515
2703,1199,San Martín de Porres,Chorrillos,36 San Martín de Porres,ET36SMPSA,La 36,#F1B936
2803,1200,Lince,Villa María del Triunfo,Ingaruca,TRAINSAC,La 9A,#16A111
3203,1203,San Juan de Lurigancho,San Martín de Porres,San Germán,TISGSA,La C - La 128 - La San Germán,#FF00C2
3205,1204,San Juan de Lurigancho,San Martín de Porres,Huancayo City,ETHUCSA 2H,La 2H,#DCE344
3502,1205,El Agustino,San Miguel,Vargasant,,La E,#FEFF28
3507,1207,San Juan de Lurigancho,San Miguel,La Huayrona,,La C1,#FF9900
4102,1210,Santa Anita,Carabayllo,San Felipe Express,,Ninguno,#0D07D9
4210,1214,Ate,San Martín de Porres,Virgen de La Asunción,ETVASA,La 32A,#28FF93
4506,1218,Ricardo Palma,San Miguel,Lima Chosica,ETYSLCHSA,El Chosicano,#D61919
4512,1219,Lurigancho/Chosica,San Miguel,Vargasant,,La B,#FFF828
4513,1220,Lurigancho/Chosica,Lima,Peralitos,,Ninguno,#FF1919
4516,1221,Ate,San Miguel,Los Expertos y Somos Más,,La 20,#B80422
4901,1222,Lurigancho/Chosica,Callao,San Cristóbal Palcamayo,,La 19 - La N,#B29A00
4902,1223,Ate,Callao,Pesqueros,,La 129B,#21917F
4904,1224,Ate,Callao,Gocarive 19,,La 19,#FFD500
4905,1225,Ate,Callao,Álamo Express,ETALEXSA,La C - La 01,#00B8FF
4908,1226,Ate,Callao,El Carmen de la Punta,ETCAPSA,La 71B,#AF0202
4911,1227,Ate,Callao,Almirante Miguel Grau,ETSAMIGSA,Ninguno,#30A130
4913,1228,Huaycán,La Perla,Santa Rosa de Lima,ETSRLSA,La H - La Z,#55B200
5303,1229,San Miguel,El Agustino,Próceres,,La M,#FEFF00
7101,1230,Chorrillos,Carabayllo,Fénix 2000,,La 03,#FFD600
7103,1231,Chorrillos,Carabayllo,Desconocido,,La 35,#0010FF
7202,1232,San Juan de Miraflores,San Martín de Porres,San Juan de La Cruz,,La A,#F70606
7204,1233,San Juan de Miraflores,San Martín de Porres,San Pedro de Pamplona,,La P1,#FE640A
7504,1234,San Juan de Miraflores,La Perla,La Unidad de Villa,,La W,#00DB34
8102,1235,Pachacámac,Carabayllo,Salamanca Parral,ETSPSA,La S,#357C3D
8104,1236,Villa El Salvador,Carabayllo,Express del Perú,GEP,La 40,#E30000
8105,1237,Villa El Salvador,Carabayllo,El Rápido,,La 5,#D00F0F
8107,1238,Villa El Salvador,Carabayllo,San Felipe Express,,La C,#0B14A6
8108,1239,Villa El Salvador,Puente Piedra,El Cóndor,,La C,#00B8FF
8109,1240,Pachacámac,Ancón,Virgen de la Puerta,VIPUSA,La A,#38913C
8110,1241,Lurín,Carabayllo,Roluesa,,La C,#00B8FF
8111,1242,Pachacámac,Ancón,Nuevo Perú,,La C,#0BB7FE
8112,1243,Villa El Salvador,Carabayllo,Norcom Corporation,,La C,#D90000
8201,1244,Pachacámac,San Martín de Porres,Unidos de Pasajeros,ETUPSA,La 73-1,#ABCA56
8205,1245,Villa María del Triunfo,San Martín de Porres,San Judas Tadeo,,Ninguno,#A89574
8209,1246,Villa María Del Triunfo,San Martin de Porres,Simón Bolívar,ETSIBOSA,La C,#00B8FF
8211,1247,Villa María del Triunfo,San Martín de Porres,Sur Express,,La G,#00EABA
8212,1248,Pachacámac,San Martin de Porres,Real Star del Perú,,La A - La C,#00B8FF
8214,1249,Villa María del Triunfo,San Martin de Porres,Salvador,ETSSSAC,La 15C,#FF8F1F
8501,1250,Villa El Salvador,San Miguel,Lapso,,La L,#FEFF00
8504,1251,San Bartolo,San Miguel,San José,ETSAJOSA,La B - El Chocolate,#785939
8507,1252,Villa María del Triunfo,San Miguel,San Judas Tadeo,,Ninguno,#FFC128
8510,1253,San Bartolo,San Miguel,Guadulfo Silva Carbajal,ETGUSICSA,La A - La San Bartolo,#B20000
8511,1254,Pucusana,San Miguel,Guadulfo Silva Carbajal,ETGUSICSA,La B,#B20000
8515,1255,Villa María del Triunfo,Lima,Capitales Peruanos,ETCAPESA,Ninguno,#26C716
9303,1256,Callao,San Juan de Lurigancho,Milenium,,La Z1,#B20000
9305,1257,Ventanilla,El Agustino,Servicio Urbano 26 de Mayo,,Ninguno,#FFF328
9306,1258,Callao,San Juan de Lurigancho,Las Flores,,La 57,#FF6F00
9307,1259,Ventanilla,San Juan de Lurigancho,La Nueva Estrella,,La S2C,#0600C9
9401,1260,Ventanilla,Huaycán,Inversiones y Representaciones Polo,IRPSAC,El Lorito,#55B200
9405,1261,Callao,Ate,Federico Villareal,ETFVSA,La Covida,#FE540A
9801,1262,Ventanilla,Villa El Salvador,41,,La 41,#F5A200
9802,1263,Callao,Villa María del Triunfo,Los Milagros del Señor de Pachacamilla,ETMISPSA,La P,#831FD1
CR02,1264,Callao,Santiago de Surco,Miraflores Monterrico,ETMIMSA,Ninguno,#1831B0
CR14,1265,Callao,Santiago de Surco,Hogar Tours,,La S,#D43434
CR19,1266,Ventanilla,Santiago de Surco,Lima Express,,La JV,#00FF99
CR24,1267,Ventanilla,Ate,Servicio y Comercialización Expreso Santa Anita,,La V,#0011B2
CR25,1268,Callao,Ate,El Álamo de Santa Rosa,,Ninguno,#528B27
CR37,1269,San Martin de Porres,Ate,Los Excelentes Unidos,ETSMEUSA,La X37,#FF0000
