codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex,estado
4485,,Huaycán,Huaycán,27 de Enero,,La HZ,#2073C7,Activa
4497,,Ate,Lurigancho/Chosica,Rutas En Zonas No Atendidas,REZNA,Desconocido,#EDEDED,Inactiva
4501/CCH04,,Ricardo Palma,San Miguel,78,,La 78 - El Chosicano,#C30000,Activa
4502,,Huaycán,Lima,Huaycán,ETRANTURHSA,La HCT - El Huaycanero,#D5BC8B,Activa
4503,,Santa Anita,Lima,Peralitos,,Desconocido,#FF0F0F,Activa
4504,,Huaycán,Lima,Nuevo Perú,,La HGK - El Huaycanero,#05016B,Activa
4505/CCH02,,Ricardo Palma,San Miguel,Representaciones Sarita Colonia y Villa Sol,ETRESCOVISSA,El Chosicano,#017305,Activa
4506/129P,,Ricardo Palma,San Miguel,Lima Chosica,ETYSLCHSA,El Chosicano,#D61A1A,Activa
4507/CH17A,,Ricardo Palma,Lima,Nueva Era Señor de Muruhuay,ETSNESMSA,El Chosicano,#1F26FF,Activa
4508/CCH05,,Lurigancho/Chosica,Lima,78,,La 78 - El Chosicano,#C30000,Inactiva
4509,,Ate,Jesús María,Comité Cien,,La 60C,#0C0E52,Inactiva
4510,,Ate,Jesús María,Bronco,ETBRONSA,Desconocido,#9C1414,Activa
4511,,Ate,Lima,Virgen de Copacabana,MIVICOSAC,La IC,#0758B5,Inactiva
4512,,Lurigancho/Chosica,San Miguel,Vargasant,,La B,#FFF945,Activa
4513,,Lurigancho/Chosica,Lima,Peralitos,,Desconocido,#FF1919,Activa
4514,,Huaycán,Lima,Las Águilas 75,ETLA75SA,La 75A,#FF0F0F,Inactiva
4515,,Huaycán,La Perla,Santa Rosa de Lima,ETSRLSA,La H - La Z,#4FA500,Activa
4516,,Ate,San Miguel,Los Expertos y Somos Más,,La 20,#B80422,Activa
4601,,Lurigancho/Chosica,La Victoria,Inversiones Múltiples Chacarilla Tours,ETIMCTSAC,La B,#06EF56,Activa
4602,,Lurigancho/Chosica,La Victoria,El Tumi,TRANSTUSA,La A1,#FF03F7,Inactiva
4603,,Lurigancho/Chosica,La Victoria,Yagasol,,La B1,#EBEB00,Inactiva
4604,,Huaycán,La Victoria,Turismo Santa Anita,EMTTURSASRL,Desconocido,#0808FF,Activa
4605,,Lurigancho/Chosica,San Luis,Múltiples San Pablo,,La A1,#FF0055,Inactiva
4606,,Ate,Lince,ATCRSA,ATCRSA,La C,#E80202,Inactiva
4607,,Ate,La Victoria,Unidos San Martín de Porres,ETUSMPSA,Desconocido,#0013BA,Activa
4608,,Ate,La Victoria,Sol de Amauta,,Desconocido,#FFF700,Activa
4609,,Ate,San Isidro,Nuestra Señora del Sagrado Corazón,ETNUSSACSA,La B,#151F5C,Activa
4610,,Ate,San Isidro,Miraflores Monterrico,ETMIMSA,La B - La 112,#1E2C82,Activa
4611,,Lurigancho/Chosica,La Victoria,San Juan Bautista,ETSSJBSA,La 51,#00008A,Activa
4612,,Huaycán,La Victoria,Comercialización 14 de Mayo,,Desconocido,#00990A,Activa
4613,,Huaycán,La Victoria,Perla de Los Andes,TRASMPERSAC,Desconocido,#006B0B,Activa
4614,,Ate,La Victoria,Sesentitrés,,La 63,#75574D,Activa
4615,,Lurigancho/Chosica,La Victoria,Inversiones Rimarz,,La A1,#FF0548,Inactiva
4616,,Ate,San Luis,Tumi sigloXXIS.A.,,Desconocido,#FFC70F,Activa
4617,,Ate,San Luis,Romyjoiv,,Desconocido,#FFB70F,Activa
4618,,Ate,La Victoria,Unidos San Martín de Porres,ETUSMPSA,Desconocido,#0013BA,Activa
4619,,Huaycán,La Victoria,Huaycán,ETRANTURHSA,La HCT - El Huaycanero,#1BBFA4,Activa
4620,,Huaycán,La Victoria,Urbano Huaycán,,Desconocido,#D61406,Activa
4621,,Ate,La Molina,Rápido Musa,ETRAMUSA,La C,#47703A,Inactiva
4622,,Ate,Miraflores,Angamos,,Desconocido,#FFEF08,Activa
4623,,Huaycán,La Victoria,Sin Fronteras,,Desconocido,#FFA229,Activa
4624/TVE52,,Lurigancho/Chosica,La Victoria,Levaro,,La A1,#046B00,Activa
4701,,Ate,Miraflores,Angamos,,Desconocido,#FFEF08,Inactiva
4702,,Ate,San Juan de Miraflores,Service Canadá,,La CH,#FF5E00,Inactiva
4703,,Ate,Chorrillos,Consorcio Santo Cristo,,La 91,#070A66,Activa
4801,,Ate,Pachacámac,Carrocerías Rivera,,La G - La 65,#68BCEB,Inactiva
4884,,La Molina,Pachacámac,Galindo Hermanos,,Desconocido,#B6FF57,Activa
4901,,Lurigancho/Chosica,Callao,San Cristóbal Palcamayo,,La 19 - La N,#AD9600,Activa
4902,,Ate,Callao,Pesqueros,,La 129B,#21917F,Activa
4903,,Cieneguilla,Callao,Urbano El Molinero Express,ETRUMESA,Desconocido,#0B6CA3,Inactiva
4904,,Ate,Callao,Gocarive 19,,La 19,#FFD500,Activa
4905,,Ate,Callao,Álamo Express,ETALEXSA,La C - La 01,#00B8FF,Activa
4906,,Santa Anita,La Punta,Especial Solidaridad,EMTESSA,La S4,#0F8A01,Inactiva
4907,,Lurigancho/Chosica,Callao,Urano Tours,,Desconocido,#EB1212,Inactiva
4908,,Ate,Callao,El Carmen de la Punta,ETCAPSA,La 71B,#7D0202,Activa
4909,,Ate,Callao,Rápido Musa,ETRAMUSA,La G,#49733B,Inactiva
4910,,Cieneguilla,Callao,Rápido Musa,ETRAMUSA,La A,#47703A,Inactiva
4911,,Ate,Callao,Almirante Miguel Grau,ETSAMIGSA,Desconocido,#30A130,Activa
4912,,Lurigancho/Chosica,Callao,Federico Villareal,ETFVSA,La B - El Covichino,#FF6105,Inactiva
4913,,Huaycán,La Perla,Santa Rosa de Lima,ETSRLSA,La H - La Z,#4FA500,Activa
5101,,Jesús María,Puente Piedra,José Leal Cocharcas,ETJLCSA,La 41 - La Cocharcas,#140099,Inactiva
5201,,San Miguel,Independencia,Urbano Víctor Raúl Haya de La Torre,EMTURSASRL,Desconocido,#1AAB23,Inactiva
5202,,San Miguel,Rímac,Nueva América,TRANSNASA,La D,#888888,Inactiva
5301,,San Miguel,San Juan de Lurigancho,El Amauta,ETEASA,La Z,#FF9022,Activa
5302,,San Miguel,San Juan de Lurigancho,Las Águilas 75,ETLA75SA,La 75B,#FF0F0F,Inactiva
5303,,San Miguel,El Agustino,Próceres,,La M,#FFFF00,Activa
5401/CCH01,,Lima,Santa Eulalia,Turismo Carretera Central,EMTRACACE,El Chosicano,#25A605,Activa
5601,,Lima,La Victoria,Múltiples Satélite,ETRASEMUSSA,El Urbanito,#004F08,Inactiva
5701,,Lima,Chorrillos,Servicios Turismo e Inversiones Norteamérica,,La 57,#0DBD7C,Inactiva
6201,,La Victoria,San Martín de Porres,Lima Chorrillos,TRANSLICSA,La A,#6CE37F,Inactiva
6301,,Miraflores,San Juan de Lurigancho,Ikarus,,La 10,#F6FF00,Inactiva
6701,,Miraflores,Chorrillos,ATCRSA,ATCRSA,La 34,#E80202,Inactiva
6801,,Miraflores,Villa El Salvador,ATCRSA,ATCRSA,La D,#E80202,Inactiva
6802,,La Victoria,Pachacámac,Santísimo Salvador,,Desconocido,#0F7AB8,Inactiva
6901,,San Borja,Callao,Magdalena-San Miguel,ETRAMSMSA,Desconocido,#B8B097,Inactiva
7101,,Chorrillos,Carabayllo,Fénix 2000,,La 03,#FFD600,Activa
7102,,Chorrillos,Carabayllo,Señor de Los Milagros,ETSEMILSA,La 39,#FF1A12,Inactiva
7103,,Chorrillos,Carabayllo,Desconocido,,La 35,#0011FF,Activa
7104,,Santiago de Surco,Carabayllo,Sinchi Roca,ETSIRSA,La SR,#FFA500,Inactiva
7201,,Chorrillos,San Martín de Porres,Villa Marina,ETVIMSA,La 3B,#5EC4AD,Inactiva
7202,,San Juan de Miraflores,San Martín de Porres,San Juan de La Cruz,,La A,#F70707,Inactiva
7203,,San Juan de Miraflores,Independencia,Norcom Corporation,,La R1,#FFDD00,Inactiva
7204,,San Juan de Miraflores,San Martín de Porres,San Pedro de Pamplona,,La P1,#FF640A,Activa
7205,,San Juan de Miraflores,San Martín de Porres,El Porvenir,,La C,#F5A300,Inactiva
7301,,Chorrillos,San Juan de Lurigancho,Urbano Línea 4,ETUL4SA,La 08,#FFCD00,Inactiva
