codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex,fuente
IM12,1282,Callao,Lurigancho,PACIFIC INTERNATIONAL,,Desconocido,#FFFFFF,atu_pdf
IM18,1283,San Martin De Porres,Santiago De Surco,CONSORCIO DE TRANSPORTE PROYECTO LAS FLORES,,Desconocido,#FFFFFF,atu_pdf
IM22,1284,San Martin De Porres,Villa El Salvador,TREINTITRES,,Desconocido,#FFFFFF,atu_pdf
IM24,1285,Ate,Callao,PESQUEROS,,Desconocido,#FFFFFF,atu_pdf
IM26,1286,San Martin De Porres,San Juan De Lurigancho,HUASCAR,,Desconocido,#FFFFFF,atu_pdf
IM43,1287,Santa Rosa,San Juan De Lurigancho,TRANSPORTE GROUP TIGRILLO,,Desconocido,#FFFFFF,atu_pdf
IM56,1289,San Juan De Lurigancho,Jesus Maria,STARLET CONSORCIO,,Desconocido,#FFFFFF,atu_pdf
IM57,1290,San Martin De Porres,Ate,VIRGEN DE LA ASUNCION,,Desconocido,#FFFFFF,atu_pdf
IO03,1291,Mi Peru,Chorrillos,HOLDING REAL EXPRESS,,Desconocido,#FFFFFF,atu_pdf
IO04,1292,Ventanilla,Ate,TURISMO CALIFORNIA SIGLO XXI,,Desconocido,#FFFFFF,atu_pdf
IO06,1293,Mi Peru,Villa Maria Del Tirunfo,HOLDING REAL EXPRESS,,Desconocido,#FFFFFF,atu_pdf
IO12,1295,Santa Anita,Callao,SERVICIOS Y TURISMO EUREKS,,Desconocido,#FFFFFF,atu_pdf
IO27,1296,San Martin De Porres,Ate,HOLDING REAL EXPRESS,,Desconocido,#FFFFFF,atu_pdf
IO28B,1297,Ventanilla,Villa Maria Del Triunfo,HOLDING REAL EXPRESS,,Desconocido,#FFFFFF,atu_pdf
IO30B,1298,Callao,Villa Maria Del Triunfo,HOLDING REAL EXPRESS,,Desconocido,#FFFFFF,atu_pdf
IO32B,1299,Ventanilla,San Juan De Lurigancho,"EMP.D TRNSP.,SV.Y COM.GALILEA EXPRESS SA",,Desconocido,#FFFFFF,atu_pdf
IO37B,1300,Ventanilla,San Juan De Lurigancho,CONSORCIO ROMA,,Desconocido,#FFFFFF,atu_pdf
IO50,1301,San Juan De Miraflores,Callao,PUBLICO EL MIRADOR,,Desconocido,#FFFFFF,atu_pdf
IO52,1302,San Juan De Lurigancho,Callao,HUASCAR,,Desconocido,#FFFFFF,atu_pdf
IO55,1303,Ventanilla,Ate,EXPRESO NUEVA LIMA S.A.C,,Desconocido,#FFFFFF,atu_pdf
IO63,1305,Ate,La Punta,EL CARMEN DE LA PUNTA,,Desconocido,#FFFFFF,atu_pdf
IO68,1307,Callao,Ate,TURISMO CALIFORNIA SIGLO XXI,,Desconocido,#FFFFFF,atu_pdf
OM19,1310,Callao,Villa El Salvador,HOLDING REAL EXPRESS,,Desconocido,#FFFFFF,atu_pdf
OM21,1311,Los Olivos,Villa El Salvador,HOLDING REAL EXPRESS,,Desconocido,#FFFFFF,atu_pdf
OM28,1313,La Punta,Santa Anita,SENOR DEL MAR,,Desconocido,#FFFFFF,atu_pdf
OM36,1314,Callao,Villa El Salvador,CONSORCIO DE TRANSPORTE TRANSCASTEL,,Desconocido,#FFFFFF,atu_pdf
OM37,1315,Callao,San Juan De Miraflores,HOLDING REAL EXPRESS,,Desconocido,#FFFFFF,atu_pdf
OM42,1316,Ventanilla,San Juan De Lurigancho,CONSORCIO ROMA,,Desconocido,#FFFFFF,atu_pdf
OM57,1317,Pachacamac,La Punta,C.T.I. CORPORACION SAC.,,Desconocido,#FFFFFF,atu_pdf
OM62,1318,Ate,La Punta,CONSORCIO SALAMANCA,,Desconocido,#FFFFFF,atu_pdf
OM75,1319,Lurigancho (Chosica),La Perla,PACHACUTEC INTERNACIONAL,,Desconocido,#FFFFFF,atu_pdf
1104,1320,Puente Piedra,Comas,E.T.S. 22 DE OCTUBRE DE LADERAS DE CHILLON,,Desconocido,#FFFFFF,atu_pdf
1105,1321,Puente Piedra,Carabayllo,E.T.SANTA ROSITA DE QUIVES,,Desconocido,#FFFFFF,atu_pdf
1106,1322,Ancon,Carabayllo,MANUEL PRADO,,Desconocido,#FFFFFF,atu_pdf
1186,1323,Puente Piedra,Carabayllo,E.T. TRANSMILENIO PUENTE PIEDRA,,Desconocido,#FFFFFF,atu_pdf
1188,1324,Puente Piedra,Carabayllo,TODO LO PUEDO EN CRISTO,,Desconocido,#FFFFFF,atu_pdf
1198,1325,Carabayllo,Puente Piedra,LOMAS DE ZAPALLAL,,Desconocido,#FFFFFF,atu_pdf
1201,1326,Carabayllo,San Martin De Porres,RAPIDO INVERSIONES,,Desconocido,#FFFFFF,atu_pdf
1202,1327,Puente Piedra,San Martin De Porres,E.T. Y SERV. EL RETABLO,,Desconocido,#FFFFFF,atu_pdf
1206,1328,Puente Piedra,Independencia,ENSENADA CHILLON S.A. ETECHSA,,Desconocido,#FFFFFF,atu_pdf
1208,1329,Puente Piedra,San Martin De Porres,26 JILGUEROS DE LOS ANDES,,Desconocido,#FFFFFF,atu_pdf
1211,1330,Carabayllo,Los Olivos,CONSORCIO GOMEZ,,Desconocido,#FFFFFF,atu_pdf
1349,1331,Lurigancho (Chosica),Lurigancho (Chosica),Desconocido,,Desconocido,#FFFFFF,atu_pdf
1383,1332,Ventanilla,Ancon,Desconocido,,Desconocido,#FFFFFF,atu_pdf
1397,1333,Santa Rosa,Puente Piedra,Desconocido,,Desconocido,#FFFFFF,atu_pdf
1408,1334,Cieneguilla,La Molina,Desconocido,,Desconocido,#FFFFFF,atu_pdf
1501,1335,Puente Piedra,San Miguel,SAN FELIPE,,Desconocido,#FFFFFF,atu_pdf
1513,1336,Carabayllo,San Miguel,NOR LIMA,,Desconocido,#FFFFFF,atu_pdf
1514,1337,Carabayllo,San Miguel,J.C. BUS,,Desconocido,#FFFFFF,atu_pdf
1901,1338,Puente Piedra,La Perla,CONSORCIO VIA,,Desconocido,#FFFFFF,atu_pdf
2203,1339,San Martin De Porres,San Martin De Porres,E.T. BELAUNDE OESTE,,Desconocido,#FFFFFF,atu_pdf
2208,1340,San Martin De Porres,San Martin De Porres,E.T. Y SERVICIOS UNIDOS PARA TRIUNFAR,,Desconocido,#FFFFFF,atu_pdf
3403,1341,San Juan De Lurigancho,Lurigancho (Chosica),E.T. SANTA ROSA DE JICAMARCA,,Desconocido,#FFFFFF,atu_pdf
3610,1342,San Juan De Lurigancho,El Agustino,VARA,,Desconocido,#FFFFFF,atu_pdf
3802,1343,San Juan De Lurigancho,Pachacamac,NEGOCIACIONES SANTA ANITA,,Desconocido,#FFFFFF,atu_pdf
3803,1344,San Juan De Lurigancho,Pachacamac,NEGOCIACIONES SANTA ANITA,,Desconocido,#FFFFFF,atu_pdf
3804,1345,San Juan De Lurigancho,Pachacamac,E.T. Y TURISMO CINCO ESTRELLAS,,Desconocido,#FFFFFF,atu_pdf
3907,1346,San Juan De Lurigancho,Callao,NUEVO SAN JUAN,,Desconocido,#FFFFFF,atu_pdf
4211,1347,Lurigancho (Chosica),San Juan De Lurigancho,102,,Desconocido,#FFFFFF,atu_pdf
4302,1348,Ate,San Juan De Lurigancho,JERRBUS,,Desconocido,#FFFFFF,atu_pdf
4303,1349,Ate,San Juan De Lurigancho,BECAMI,,Desconocido,#FFFFFF,atu_pdf
4306,1350,Ate,San Juan De Lurigancho,COMUN. INTEG.TURIS. Y SERV. URANO TOURS,,Desconocido,#FFFFFF,atu_pdf
4308,1351,Ate,San Juan De Lurigancho,VARANT,,Desconocido,#FFFFFF,atu_pdf
4401,1352,Lurigancho,Santa Anita,E. T. T. NUEVO AMANECER,,Desconocido,#FFFFFF,atu_pdf
4402,1353,Lurigancho,Ate,IMPORTACIONES Y SERVICIOS H2,,Desconocido,#FFFFFF,atu_pdf
4406,1354,Lurigancho (Chosica),Ate,E.T. Y SERV. EL TRIUNFO 119,,Desconocido,#FFFFFF,atu_pdf
4407,1355,Santa Anita,La Molina,CRUZ DE NAZARENO,,Desconocido,#FFFFFF,atu_pdf
4408,1356,La Molina,Lurigancho (Chosica),PREMIER EL NAZARENO,,Desconocido,#FFFFFF,atu_pdf
4409,1357,La Molina,Lurigancho (Chosica),EMP. DE TRANSP. TUR. Y SERV. CONSTRUCTORES S.A. ETRANSCO,,Desconocido,#FFFFFF,atu_pdf
4413,1358,Cieneguilla,Ate,URBANO EL MOLINERO EXPRESS,,Desconocido,#FFFFFF,atu_pdf
4415,1359,Ate,Ate,AGRUP. DE TRANS. EN CAMIONETAS S.A.(A.T.C.R. S.A.),,Desconocido,#FFFFFF,atu_pdf
4416,1360,Ate,Cieneguilla,RAPIDO MUSA,,Desconocido,#FFFFFF,atu_pdf
4417,1361,Lurigancho (Chosica),Ate,NUEVO AMANECER,,Desconocido,#FFFFFF,atu_pdf
4418,1362,Lurigancho (Chosica),Ate,INVERSIONES RIMARZ,,Desconocido,#FFFFFF,atu_pdf
4419,1363,Lurigancho (Chosica),Ate,MULTIPLES SAN PABLO,,Desconocido,#FFFFFF,atu_pdf
4420,1364,Lurigancho (Chosica),Ate,TRANSPORTE UNIVERSAL Y MULTIPLES INVERSIONES,,Desconocido,#FFFFFF,atu_pdf
4481,1365,Lurigancho (Chosica),Chaclacayo,NANA,,Desconocido,#FFFFFF,atu_pdf
4482,1366,Ate,Ate,SERVICIO MULTIPLES E INVERSIONES NIEVERIA S.A.C,,Desconocido,#FFFFFF,atu_pdf
4483,1367,Lurigancho (Chosica),Ate,COMUN. INTEG.TURIS. Y SERV. URANO TOURS,,Desconocido,#FFFFFF,atu_pdf
4601,1368,Lurigancho (Chosica),Ate,INVERSIONES MULTIPLES CHACARILLA TOUR,,Desconocido,#FFFFFF,atu_pdf
4602,1369,Lurigancho (Chosica),La Victoria,TUMI,,Desconocido,#FFFFFF,atu_pdf
4604,1370,Ate,La Victoria,E.T. Y TURISMO SANTA ANITA,,Desconocido,#FFFFFF,atu_pdf
4608,1371,Ate,La Victoria,E.T. SERV. COMER. SOL DE AMAUTA,,Desconocido,#FFFFFF,atu_pdf
4616,1372,Ate,San Luis,TUMI SIGLO XXI,,Desconocido,#FFFFFF,atu_pdf
4617,1373,Ate,La Victoria,ROMYJOIV,,Desconocido,#FFFFFF,atu_pdf
4624,1374,Lurigancho (Chosica),,LEVARO,,Desconocido,#FFFFFF,atu_pdf
4884,1375,Pachacamac,Pachacamac,GALINDO HNOS,,Desconocido,#FFFFFF,atu_pdf
7403,1376,Chorrillos,Cieneguilla,SERVICIO DE TRANSPORTISTAS JOSE OLAYA,,Desconocido,#FFFFFF,atu_pdf
7701,1377,Chorrillos,Chorrillos,TRANSLIMA,,Desconocido,#FFFFFF,atu_pdf
7702,1378,Chorrillos,San Juan De Miraflores,E.T.TURISMO SAN JUANITO,,Desconocido,#FFFFFF,atu_pdf
7703,1379,Chorrillos,San Juan De Miraflores,PREFERENCIAL SAN JUANITO,,Desconocido,#FFFFFF,atu_pdf
7705,1380,San Juan De Lurigancho,Chorrillos,E.T. TABLADA,,Desconocido,#FFFFFF,atu_pdf
7706,1381,San Juan De Miraflores,Chorrillos,UNIDOS DOCE DE NOVIEMBRE,,Desconocido,#FFFFFF,atu_pdf
7707,1382,Chorrillos,San Juan De Miraflores,E.T.COMER.E IMPOR.MARTIR OLAYA,,Desconocido,#FFFFFF,atu_pdf
7708,1383,Chorrillos,San Juan De Miraflores,SAN GENARO,,Desconocido,#FFFFFF,atu_pdf
7709,1384,Chorrillos,Villa Maria Del Triunfo,LA UNIDAD DE VILLA,,Desconocido,#FFFFFF,atu_pdf
7711,1385,San Juan De Miraflores,Chorrillos,SERVICE CANADA,,Desconocido,#FFFFFF,atu_pdf
7799,1386,Chorrillos,Chorrillos,SAN GENARO,,Desconocido,#FFFFFF,atu_pdf
7801,1387,San Juan De Miraflores,Villa Maria Del Triunfo,E.S.T. SAN JUAN,,Desconocido,#FFFFFF,atu_pdf
7802,1388,San Juan De Miraflores,Villa Maria Del Triunfo,SAN PEDRO DE PAMPLONA,,Desconocido,#FFFFFF,atu_pdf
7803,1389,San Juan De Miraflores,Villa Maria Del Triunfo,E.S.T. SAN JUAN,,Desconocido,#FFFFFF,atu_pdf
7804,1390,San Juan De Miraflores,Villa Maria Del Triunfo,VIRTUAL EXPRESS,,Desconocido,#FFFFFF,atu_pdf
7805,1391,Chorrillos,Villa Maria Del Triunfo,E.T.TURISMO SAN JUANITO,,Desconocido,#FFFFFF,atu_pdf
7807,1392,San Juan De Miraflores,Villa El Salvador,IMAGEN DE JESUS,,Desconocido,#FFFFFF,atu_pdf
7811,1393,San Juan De Miraflores,Villa El Salvador,LIDER PAMPLONA ALTA,,Desconocido,#FFFFFF,atu_pdf
8401,1394,Lurin,Cieneguilla,18 DE ENERO,,Desconocido,#FFFFFF,atu_pdf
8402,1395,Pachacamac,Ate,LOS LAURELES DE MANCHAY,,Desconocido,#FFFFFF,atu_pdf
8613,1396,Punta Negra,Chorrillos,TURISMO EL MARQUEZ,,Desconocido,#FFFFFF,atu_pdf
8701,1397,Lurin,San Juan De Miraflores,ROSHEDI,,Desconocido,#FFFFFF,atu_pdf
8702,1398,Punta Hermosa,San Juan De Miraflores,VIRGENCITA DE PACHACAMAC,,Desconocido,#FFFFFF,atu_pdf
8706,1399,Villa Maria Del Triunfo,Chorrillos,E.T.TURISMO SAN JUANITO,,Desconocido,#FFFFFF,atu_pdf
8707,1400,Villa Maria Del Triunfo,Chorrillos,PREFERENCIAL SAN JUANITO,,Desconocido,#FFFFFF,atu_pdf
8708,1401,Villa Maria Del Triunfo,Chorrillos,UNION SAN JUANITO,,Desconocido,#FFFFFF,atu_pdf
8716,1405,Villa Maria Del Triunfo,Chorrillos,JOSE GALVEZ,,Desconocido,#FFFFFF,atu_pdf
8717,1406,Pachacamac,Chorrillos,KID GALAHAD,,Desconocido,#FFFFFF,atu_pdf
8718,1407,Pachacamac,San Juan De Miraflores,NOVOA,,Desconocido,#FFFFFF,atu_pdf
8720,1408,Lurin,San Juan De Miraflores,E.T.Y SERV.MULTIPLES TALIA S.A.C,,Desconocido,#FFFFFF,atu_pdf
8722,1409,Villa El Salvador,Chorrillos,JOSE GALVEZ,,Desconocido,#FFFFFF,atu_pdf
8723,1410,Villa El Salvador,San Juan De Miraflores,TRABAJADORES CORAJE,,Desconocido,#FFFFFF,atu_pdf
8727,1413,Villa Maria Del Triunfo,Chorrillos,CORAZON VALIENTE,,Desconocido,#FFFFFF,atu_pdf
8728,1414,Villa Maria Del Triunfo,Chorrillos,TRAGEPSA,,Desconocido,#FFFFFF,atu_pdf
8801,1415,Lurin,San Bartolo,SAN PEDRO DE LURIN,,Desconocido,#FFFFFF,atu_pdf
8802,1416,Villa El Salvador,San Bartolo,E.T. Y SERV. SANTA CRUZ DE PUNTA HERMOSA,,Desconocido,#FFFFFF,atu_pdf
8804,1417,Pachacamac,Villa Maria Del Triunfo,TRANSPORTE INVERSIONES MULTIPLICANDO ESPERANZAS SAC,,Desconocido,#FFFFFF,atu_pdf
8890,1418,Pachacamac,Villa Maria Del Triunfo,& INVERSIONES LAS NUEVAS ESPERANZAS,,Desconocido,#FFFFFF,atu_pdf
8892,1419,Villa Maria Del Triunfo,Villa El Salvador,E.T. TABLADA,,Desconocido,#FFFFFF,atu_pdf
CR05,1420,Bellavista,San Martin De Porres,MULTISERVICIOS OVNI,,Desconocido,#FFFFFF,atu_pdf
CR13,1421,San Martin De Porres,San Miguel,LATINOAMERICA,,Desconocido,#FFFFFF,atu_pdf
CR15,1422,Carabayllo,San Miguel,SAN ANTONIO,,Desconocido,#FFFFFF,atu_pdf
CR16,1423,Ventanilla,San Miguel,SAN JOSE,,Desconocido,#FFFFFF,atu_pdf
CR28,1424,Callao,Callao,ROSARIO DE SANTA MARIA,,Desconocido,#FFFFFF,atu_pdf
CR34,1425,Ventanilla,San Miguel,COMAS EXPRESS,,Desconocido,#FFFFFF,atu_pdf
CR35,1426,Ventanilla,San Miguel,CONSORCIO DE TRANSPORTE Y SERVICIO LIVENTUR,,Desconocido,#FFFFFF,atu_pdf
CR41,1427,Ventanilla,Cercado De Lima,CONSORCIO DE TRANSPORTE Y SERVICIO LIVENTUR,,Desconocido,#FFFFFF,atu_pdf
CR42,1428,Independencia,Callao,RAPIDO CORRE CAMINOS,,Desconocido,#FFFFFF,atu_pdf
CR49,1429,San Martin De Porres,Callao,MULTISERVICIOS OVNI,,Desconocido,#FFFFFF,atu_pdf
CR51,1430,Comas,San Miguel,SAN FELIPE,,Desconocido,#FFFFFF,atu_pdf
CR53,1431,La Perla,Independencia,CONSORCIO 4S,,Desconocido,#FFFFFF,atu_pdf
CR65,1432,Comas,San Miguel,LIDER,,Desconocido,#FFFFFF,atu_pdf
CR66,1433,Ventanilla,Callao,RAPIDO MARCOS,,Desconocido,#FFFFFF,atu_pdf
CR84,1434,Callao,Carabayllo,LEVI EXPRESS DE TRANSPORTES,,Desconocido,#FFFFFF,atu_pdf
ICR05,1435,Carabayllo,Callao,NUEVA AMERICA,,Desconocido,#FFFFFF,atu_pdf
ICR15,1436,Comas,Ventanilla,SAGRADO CORAZON DE COLLIQUE,,Desconocido,#FFFFFF,atu_pdf
IM08,1437,Callao,Independencia,CONSORCIO HAYDEE ALFARO MONTUFAR S.A.C,,Desconocido,#FFFFFF,atu_pdf
IM31,1438,Ventanilla,San Miguel,COOP DE SERV ESP.TRANSP.SOL Y MAR,,Desconocido,#FFFFFF,atu_pdf
IO09,1439,Callao,San Martin De Porres,RAPIDO RAMON CASTILLA,,Desconocido,#FFFFFF,atu_pdf
IO35B,1440,Carabayllo,Callao,CONSORCIO BRIZA,,Desconocido,#FFFFFF,atu_pdf
IO40,1441,Los Olivos,San Miguel,CONSORCIO BRIZA,,Desconocido,#FFFFFF,atu_pdf
IO71,1442,Ventanilla,San Miguel,AVAGON,,Desconocido,#FFFFFF,atu_pdf
IO74,1443,Ate,La Victoria,CALIFORNIA,,Desconocido,#FFFFFF,atu_pdf
IPC06,1444,Comas,San Miguel,CONSORCIO GRUPO UVITA,,Desconocido,#FFFFFF,atu_pdf
OM10,1445,Mi Peru,San Miguel,AVAGON,,Desconocido,#FFFFFF,atu_pdf
OM25,1446,Puente Piedra,Bellavista,CRUZ DE MOTUPE,,Desconocido,#FFFFFF,atu_pdf
OM39,1447,Callao,Independencia,SAN BENITO DE PALERMO,,Desconocido,#FFFFFF,atu_pdf
OM47,1448,Santa Rosa,San Miguel,CONSORCIO DE TRANSPORTE KILMER,,Desconocido,#FFFFFF,atu_pdf
UCL01,1449,Ventanilla,La Punta,SERVICIO RAPIDO SANTA MARINA,,Desconocido,#FFFFFF,atu_pdf
UCL02,1450,Callao,La Punta,SERVICIO RAPIDO SANTA MARINA,,Desconocido,#FFFFFF,atu_pdf
UCL03,1451,San Martin De Porres,La Punta,LA ESPERANZA TRANSPORTES Y SERVICIOS,,Desconocido,#FFFFFF,atu_pdf
UCL04,1452,Callao,La Punta,LA ESPERANZA TRANSPORTES Y SERVICIOS,,Desconocido,#FFFFFF,atu_pdf
UCL06,1453,Callao,Bellavista,LA PERLA,,Desconocido,#FFFFFF,atu_pdf
UCL09,1454,Ventanilla,Callao,RAPIDO VENTANILLA CALLAO,,Desconocido,#FFFFFF,atu_pdf
UCL10,1455,Ventanilla,Bellavista,CONSORCIO SATELITE TRANSPORT GROUP,,Desconocido,#FFFFFF,atu_pdf
UCL11,1456,La Perla,Ventanilla,RAPIDO VENTANILLA CALLAO,,Desconocido,#FFFFFF,atu_pdf
UCL12,1457,Ventanilla,La Perla,CONSORCIO DE TRANSPORTES ARIES,,Desconocido,#FFFFFF,atu_pdf
UCL13,1458,Ventanilla,Callao,ACOR,,Desconocido,#FFFFFF,atu_pdf
UCL14,1459,Ventanilla,Callao,MI DIVINO SAN SALVADOR,,Desconocido,#FFFFFF,atu_pdf
UCL16,1460,Ventanilla,Callao,MI DIVINO SAN SALVADOR,,Desconocido,#FFFFFF,atu_pdf
1102,1461,Carabayllo,Carabayllo,E.T. Y SERV. JUAN PABLO S.A. EMJUPASA,,Desconocido,#FFFFFF,atu_pdf
1103,1462,Carabayllo,Carabayllo,HUANDOY,,Desconocido,#FFFFFF,atu_pdf
8502,1463,Villa Maria Del Triunfo,Cercado De Lima,E.T.S. SAN JUAN NUMERO CIENTO OCHO,,Desconocido,#FFFFFF,atu_pdf
8503,1464,Villa Maria Del Triunfo,Cercado De Lima,RED LIMA MOVIL,,Desconocido,#FFFFFF,atu_pdf
8505,1465,Pachacamac,Breña,GUADULFO SILVA CARBAJAL,,Desconocido,#FFFFFF,atu_pdf
8506,1466,Pachacamac,Cercado De Lima,E.S.E.T. SAN JUDAS TADEO,,Desconocido,#FFFFFF,atu_pdf
8508,1467,Pucusana,Cercado De Lima,ROYAL EXPRESS,,Desconocido,#FFFFFF,atu_pdf
1804,1468,Ancon,San Juan De Miraflores,VIRGEN DE LA PUERTA,,Desconocido,#FFFFFF,atu_pdf
2702,1470,Chorrillos,San Martin De Porres,SERVICIO MULTIPLE RUMI,,Desconocido,#FFFFFF,atu_pdf
2804,1471,San Martin De Porres,Villa El Salvador,LINEA PERUANA DE TRANSPORTES S.A. LIPETSA.,,Desconocido,#FFFFFF,atu_pdf
2805,1472,San Martin De Porres,Villa El Salvador,SOL DE ORO,,Desconocido,#FFFFFF,atu_pdf
3505,1473,San Juan De Lurigancho,San Miguel,EL CARMEN,,Desconocido,#FFFFFF,atu_pdf
3517,1474,San Juan De Lurigancho,Pueblo Libre,CHABAQUITO,,Desconocido,#FFFFFF,atu_pdf
3906,1475,San Juan De Lurigancho,La Perla,COLONIAL,,Desconocido,#FFFFFF,atu_pdf
4204,1476,Ate,San Martin De Porres,SOL DE ORO,,Desconocido,#FFFFFF,atu_pdf
4205,1477,Ate,San Martin De Porres,VISHENZO INVESTMENT COMPANY 505,,Desconocido,#FFFFFF,atu_pdf
4206,1478,Ate,San Martin De Porres,EXPRESSO DOCE,,Desconocido,#FFFFFF,atu_pdf
4501,1479,Lurigancho (Chosica),San Miguel,78,,Desconocido,#FFFFFF,atu_pdf
4505,1480,Lurigancho,San Miguel,REPRESENTACIONES SARITA COLONIA Y VILLA SOL,,Desconocido,#FFFFFF,atu_pdf
IO66,1481,San Juan De Lurigancho,Callao,PATRON SAN SEBASTIAN,,Desconocido,#FFFFFF,atu_pdf
IO89,1482,San Martin De Porres,Chorrillos,MULTIPLES AQUARIUS EXPRESS,,Desconocido,#FFFFFF,atu_pdf
8712,1483,Villa Maria Del Triunfo,Chorrillos,LA UNIDAD DE VILLA,,Desconocido,#FFFFFF,atu_pdf
8715,1484,Lurin,Surquillo,E.T. MILAGROSA VIRGEN DEL CARMEN DE LURIN,,Desconocido,#FFFFFF,atu_pdf
8724,1485,Lurin,Chorrillos,LA UNIDAD DE VILLA,,Desconocido,#FFFFFF,atu_pdf
8726,1486,Villa Maria Del Triunfo,Chorrillos,URBANO MARIATEGUI,,Desconocido,#FFFFFF,atu_pdf
8709,1487,Villa Maria Del Triunfo,San Juan De Miraflores,E.T. ESFUERZOS UNIDOS,,Desconocido,#FFFFFF,atu_pdf
8406,1488,Lurin,Lurigancho (Chosica),INVERSIONES NUEVA GALAXIA,,Desconocido,#FFFFFF,atu_pdf
4212,1489,Ate,San Martin De Porres,LOS ALIZOS,,Desconocido,#FFFFFF,atu_pdf
3816,1490,San Juan De Lurigancho,Villa Maria Del Triunfo,ESPECIAL SOLIDARIDAD,,Desconocido,#FFFFFF,atu_pdf
CR20,1491,Callao,Villa Maria Del Triunfo,CONSORCIO GRUPO SALAMANCA,,Desconocido,#FFFFFF,atu_pdf
8509,1492,Villa El Salvador,Los Olivos,SALVADOR,,Desconocido,#FFFFFF,atu_pdf
