codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex,fuente
3203,1203,San Juan de Lurigancho,San Martín de Porres,San Germán,TISGSA,La C - La 128 - La San Germán,#FF00C3,wikipedia
3205,1204,San Juan de Lurigancho,San Martín de Porres,Huancayo City,ETHUCSA 2H,La 2H,#F0F3AF,wikipedia
3502,1205,El Agustino,San Miguel,Vargasant,,La E,#FFFF39,wikipedia
3507,1207,San Juan de Lurigancho,San Miguel,La Huayrona,,La C1,#FF9900,wikipedia
4102,1210,Santa Anita,Carabayllo,San Felipe Express,,Ninguno,#0E07D9,wikipedia
4210,1214,Ate,San Martín de Porres,Virgen de La Asunción,ETVASA,La 32A,#45FFA2,wikipedia
4506,1218,Ricardo Palma,San Miguel,Lima Chosica,ETYSLCHSA,El Chosicano,#D61A1A,wikipedia
4512,1219,Lurigancho/Chosica,San Miguel,Vargasant,,La B,#FFF945,wikipedia
4513,1220,Lurigancho/Chosica,Lima,Peralitos,,Ninguno,#FF1919,wikipedia
4516,1221,Ate,San Miguel,Los Expertos y Somos Más,,La 20,#B80422,wikipedia
4901,1222,Lurigancho/Chosica,Callao,San Cristóbal Palcamayo,,La 19 - La N,#AD9600,wikipedia
4902,1223,Ate,Callao,Pesqueros,,La 129B,#21917F,wikipedia
4904,1224,Ate,Callao,Gocarive 19,,La 19,#FFD500,wikipedia
4905,1225,Ate,Callao,Álamo Express,ETALEXSA,La C - La 01,#00B8FF,wikipedia
4908,1226,Ate,Callao,El Carmen de la Punta,ETCAPSA,La 71B,#7D0202,wikipedia
4911,1227,Ate,Callao,Almirante Miguel Grau,ETSAMIGSA,Ninguno,#30A130,wikipedia
4913,1228,Huaycán,La Perla,Santa Rosa de Lima,ETSRLSA,La H - La Z,#4FA500,wikipedia
5303,1229,San Miguel,El Agustino,Próceres,,La M,#FFFF00,wikipedia
7101,1230,Chorrillos,Carabayllo,Fénix 2000,,La 03,#FFD600,wikipedia
7103,1231,Chorrillos,Carabayllo,Desconocido,,La 35,#0011FF,wikipedia
7202,1232,San Juan de Miraflores,San Martín de Porres,San Juan de La Cruz,,La A,#F70707,wikipedia
7204,1233,San Juan de Miraflores,San Martín de Porres,San Pedro de Pamplona,,La P1,#FF640A,wikipedia
7504,1234,San Juan de Miraflores,La Perla,La Unidad de Villa,,La W,#00DB34,wikipedia
8102,1235,Pachacámac,Carabayllo,Salamanca Parral,ETSPSA,La S,#2C6632,wikipedia
8104,1236,Villa El Salvador,Carabayllo,Express del Perú,GEP,La 40,#E30000,wikipedia
8105,1237,Villa El Salvador,Carabayllo,El Rápido,,La 5,#D10F0F,wikipedia
8107,1238,Villa El Salvador,Carabayllo,San Felipe Express,,La C,#091080,wikipedia
8108,1239,Villa El Salvador,Puente Piedra,El Cóndor,,La C,#00B8FF,wikipedia
8109,1240,Pachacámac,Ancón,Virgen de la Puerta,VIPUSA,La A,#39913C,wikipedia
8110,1241,Lurín,Carabayllo,Roluesa,,La C,#00B8FF,wikipedia
8111,1242,Pachacámac,Ancón,Nuevo Perú,,La C,#0BB8FF,wikipedia
8112,1243,Villa El Salvador,Carabayllo,Norcom Corporation,,La C,#D90000,wikipedia
8201,1244,Pachacámac,San Martín de Porres,Unidos de Pasajeros,ETUPSA,La 73-1,#ACCB56,wikipedia
8205,1245,Villa María del Triunfo,San Martín de Porres,San Judas Tadeo,,Ninguno,#A89574,wikipedia
8209,1246,Villa María Del Triunfo,San Martin de Porres,Simón Bolívar,ETSIBOSA,La C,#00B8FF,wikipedia
8211,1247,Villa María del Triunfo,San Martín de Porres,Sur Express,,La G,#00EABB,wikipedia
8212,1248,Pachacámac,San Martin de Porres,Real Star del Perú,,La A - La C,#00B8FF,wikipedia
8214,1249,Villa María del Triunfo,San Martin de Porres,Salvador,ETSSSAC,La 15C,#FF8F1F,wikipedia
8501,1250,Villa El Salvador,San Miguel,Lapso,,La L,#FFFF00,wikipedia
8504,1251,San Bartolo,San Miguel,San José,ETSAJOSA,La B - El Chocolate,#3D2D1D,wikipedia
8507,1252,Villa María del Triunfo,San Miguel,San Judas Tadeo,,Ninguno,#FFEFC7,wikipedia
8510,1253,San Bartolo,San Miguel,Guadulfo Silva Carbajal,ETGUSICSA,La A - La San Bartolo,#660000,wikipedia
8511,1254,Pucusana,San Miguel,Guadulfo Silva Carbajal,ETGUSICSA,La B,#660000,wikipedia
8515,1255,Villa María del Triunfo,Lima,Capitales Peruanos,ETCAPESA,Ninguno,#27C716,wikipedia
9303,1256,Callao,San Juan de Lurigancho,Milenium,,La Z1,#610000,wikipedia
9305,1257,Ventanilla,El Agustino,Servicio Urbano 26 de Mayo,,Ninguno,#FFFEED,wikipedia
9306,1258,Callao,San Juan de Lurigancho,Las Flores,,La 57,#FF6F00,wikipedia
9307,1259,Ventanilla,San Juan de Lurigancho,La Nueva Estrella,,La S2C,#0600C9,wikipedia
9401,1260,Ventanilla,Huaycán,Inversiones y Representaciones Polo,IRPSAC,El Lorito,#4FA500,wikipedia
9405,1261,Callao,Ate,Federico Villareal,ETFVSA,La Covida,#FF540A,wikipedia
9801,1262,Ventanilla,Villa El Salvador,41,,La 41,#F5A200,wikipedia
9802,1263,Callao,Villa María del Triunfo,Los Milagros del Señor de Pachacamilla,ETMISPSA,La P,#841FD1,wikipedia
CR02,1264,Callao,Santiago de Surco,Miraflores Monterrico,ETMIMSA,Ninguno,#1932B0,wikipedia
