seccion,grupo,ruta,ruta_color,codigo_anterior,codigo_anterior_color,alias,origen,destino,empresa,abreviacion
actual,Rutas 1000,1056,#B80000,3805,#B80000,La P,San Juan de Lurigancho,Villa El Salvador,Empresa de Transportes y Servicios Arco Iris S.A. (ETSAISA),ETSAISA
actual,Rutas 1000,1057,#0C5700,3806,#0C5700,La 23C,San Juan de Lurigancho,Villa María del Triunfo,Empresa de Servicios de Transportes Santa Catalina S.A. (ESTSACASA),ESTSACASA
actual,Rutas 1000,1058,#D8D821,3807/TVE21,#D8D821,La R28,San Juan de Lurigancho,Lurín,Transportes Huáscar S.A,
actual,Rutas 1000,1059,#0C5700,3809,#0C5700,La 23B,San Juan de Lurigancho,Villa María del Triunfo,Empresa de Servicios de Transporte Santa Catalina S.A. (ESTSACASA),ESTSACASA
actual,Rutas 1000,1060,#DE1212,3810,#DE1212,La 8,San Juan de Lurigancho,Villa María del Triunfo,Empresa de Transportes y Servicios Ocho S.A. (ETSOSA),ETSOSA
actual,Rutas 1000,1061,#C5FF22,3813,#C5FF22,La M1,San Juan de Lurigancho,Villa El Salvador,Empresa de Transportes y Servicios Preferencial M1 S.A. (ETSPM1SA),ETSPM1SA
actual,Rutas 1000,1062,#FFF70A,3814,#FFF70A,La M1,San Juan de Lurigancho,Villa El Salvador,Empresa de Transportes Los Cuatro Suyos S.A. (ETCSSA),ETCSSA
actual,Rutas 1000,1063,#FFB60A,3815,#FFB60A,La M,San Juan de Lurigancho,Pachacámac,Empresa de Transportes y Servicios Múltiples Los Magníficos S.A. (ETYSERMULMASA) / Transportes Negociaciones Santa Anita S.A.,
actual,Rutas 1000,1064,#DB0000,4304,#DB0000,La 49,Lurigancho/Chosica,San Juan de Lurigancho,Empresa de Transportes Santa Rosa de Jicamarca S.A. (ETSRJSA),ETSRJSA
actual,Rutas 1000,1065,#00126E,4405,#00126E,La 91,Ate,Ate,Empresa de Transportes Nuevo Horizonte S.A. (ETNHOSA),ETNHOSA
actual,Rutas 1000,1066,#D5BC8B,4502,#D5BC8B,La HCT - El Huaycanero,Huaycán,Lima,Empresa de Transporte y Turismo Huaycán S.A. (ETRANTURHSA),ETRANTURHSA
actual,Rutas 1000,1067,#FF0F0F,4503,#FF0F0F,,Santa Anita,Lima,Empresa de Transportes y Servicios Peralitos S.A.,
actual,Rutas 1000,1068,#05016B,4504,#05016B,La HGK - El Huaycanero,Huaycán,Lima,Empresa de Servicios Múltiples Nuevo Perú S.A.,
actual,Rutas 1000,1069,#1F26FF,4507,#1F26FF,El Chosicano,Ricardo Palma,Lima,Empresa de Transportes y Servicios Nueva Era Señor de Muruhuay S.A. (ETSNESMSA),ETSNESMSA
actual,Rutas 1000,1070,#9C1414,4510,#9C1414,,Ate,Jesús María,Empresa de Transportes Bronco S.A. (ETBRONSA),ETBRONSA
actual,Rutas 1000,1071,#0758B5,4511,#0758B5,La IC,Ate,Lima,Multiservicios e Inversiones Virgen de Copacabana S.A.C. (MIVICOSAC),MIVICOSAC
actual,Rutas 1000,1072,#0013BA,4607,#0013BA,,Ate,La Victoria,Empresa de Transportes Unidos San Martín de Porres S.A. (ETUSMPSA),ETUSMPSA
actual,Rutas 1000,1073,#151F5C,4609,#151F5C,La B,Ate,San Isidro,Empresa de Transportes Nuestra Señora del Sagrado Corazón S.A. (ETNUSSACSA),ETNUSSACSA
