folder,folder_rel,route_id,title,display_id_raw,display_id_source,end1_start,end1_end,end2_start,end2_end,cand_match_type,cand_codigo_nuevo,cand_codigo_antiguo,cand_alias,cand_color_hex,cand_empresa_operadora,cand_distrito_origen,cand_distrito_destino,categoria,ambito_title,codigo_final,usar_en_mapa,es_codigo_nuevo,comentario
route_106023,data/processed/transporte/route_106023,106023,Ruta de autobús EO113 en el mapa de Lima,EO113,title,Cuartel Coronel Marcos Puente Llanos,Los Sauces,Los Sauces,Cuartel Coronel Marcos Puente Llanos,,,,,,,,,Otros,Lima,EO113,TRUE,,
route_106024,data/processed/transporte/route_106024,106024,Ruta de autobús NM51 en el mapa de Lima,NM51,title,Santa Dora,Benjamín Franklin,Benjamín Franklin,Santa Dora,,,,,,,,,Otros,Lima,NM51,TRUE,,
route_106025,data/processed/transporte/route_106025,106025,Ruta de autobús EM21 en el mapa de Lima,EM21,title,Amauta,Avenida Chuquitanta,Avenida Chuquitanta,Amauta,,,,,,,,,Otros,Lima,EM21,TRUE,,
route_106026,data/processed/transporte/route_106026,106026,Ruta de autobús EM62b en el mapa de Lima,EM62b,title,Ferrocarril,12 de Octubre,12 de Octubre,Ferrocarril,,,,,,,,,Otros,Lima,EM62b,TRUE,,
route_106027,data/processed/transporte/route_106027,106027,Ruta de autobús EM62a en el mapa de Lima,EM62a,title,Ceres Medio,Óvalo Previ,Óvalo Previ,Ceres Medio,,,,,,,,,Otros,Lima,EM62a,TRUE,,
route_106028,data/processed/transporte/route_106028,106028,Ruta de autobús IO30a (Lima - Callao) en el mapa de Lima,IO30a,title,Los Pinos,Pedro Valle Medina,Pedro Valle Medina,Los Pinos,,,,,,,,,Otros,Lima - Callao,IO30a,TRUE,,
route_106029,data/processed/transporte/route_106029,106029,Ruta de autobús EO09 (Lima - Callao) en el mapa de Lima,EO09,title,Huaycán de Cieneguilla,Terminal Minka,Terminal Minka,Huaycán de Cieneguilla,,,,,,,,,Otros,Lima - Callao,EO09,TRUE,,
route_106030,data/processed/transporte/route_106030,106030,Ruta de autobús IO75a (Lima - Callao) en el mapa de Lima,IO75a,title,Huertos de Manchay,Plaza Matriz,Plaza Matriz,Huertos de Manchay,,,,,,,,,Otros,Lima - Callao,IO75a,TRUE,,
route_106031,data/processed/transporte/route_106031,106031,Ruta de autobús NM10 en el mapa de Lima,NM10,title,Asociación La Chancadora,Thomas Alva Edison,Thomas Alva Edison,Asociación La Chancadora,,,,,,,,,Otros,Lima,NM10,TRUE,,
route_106088,data/processed/transporte/route_106088,106088,Ruta de autobús 3409 en el mapa de Lima,3409,title,Diego Ferrer,Santa María,Santa María,Diego Ferrer,,,,,,,,,Transporte Formal sin Codigo Nuevo,Lima,3409,TRUE,,
route_106089,data/processed/transporte/route_106089,106089,Ruta de autobús IO18a (Lima - Callao) en el mapa de Lima,IO18a,title,Carrillo,El Portillo,El Portillo,Carrillo,,,,,,,,,Otros,Lima - Callao,IO18a,TRUE,,
route_106127,data/processed/transporte/route_106127,106127,Ruta de autobús 8112 en el mapa de Lima,8112,title,Vicuña,Chacra,Chacra,Vicuña,codigo_antiguo,1243,8112,La C,#D90000,Trans. Norcom Corporation S.A.C. / Rápido Transurbano S.A.C. / Grupo Empresarial El Rápido S.A.,Villa El Salvador,Carabayllo,Transporte Formal sin Codigo Nuevo,Lima,8112,TRUE,,
route_106128,data/processed/transporte/route_106128,106128,Ruta de autobús IM35 (Lima - Callao) en el mapa de Lima,IM35,title,Grifo Lubricantes,Belisario Flores,Cápac Yupanqui,Grifo Lubricantes,,,,,,,,,Transporte Formal sin Codigo Nuevo,Lima - Callao,IM35,TRUE,,
route_106165,data/processed/transporte/route_106165,106165,Ruta de autobús IM25 en el mapa de Lima,IM25,title,Periférica Meléndez Loayza,Gardenias,Gardenias,Periférica Meléndez Loayza,,,,,,,,,Transporte Formal sin Codigo Nuevo,Lima,IM25,TRUE,,
route_106166,data/processed/transporte/route_106166,106166,Ruta de autobús 3410 en el mapa de Lima,3410,title,Mirador,Santa María,Santa María,Mirador,,,,,,,,,Transporte Formal sin Codigo Nuevo,Lima,3410,TRUE,,
route_106167,data/processed/transporte/route_106167,106167,Ruta de autobús EM05 en el mapa de Lima,EM05,title,Mercado Integral Guadalupe,5 de Junio,Pumacahua,Mercado Integral Guadalupe,,,,,,,,,Otros,Lima,EM05,TRUE,,
route_106168,data/processed/transporte/route_106168,106168,Ruta de autobús EM58b en el mapa de Lima,EM58b,title,Pampa Chica,San Cristóbal,San Cristóbal,Pampa Chica,,,,,,,,,Otros,Lima,EM58b,TRUE,,
