sequence,direction,stop_id,stop_name,stop_url,lat,lon
123,,828136,,https://wikiroutes.info/es/stops/828136,,
124,,828137,,https://wikiroutes.info/es/stops/828137,,
125,,828138,,https://wikiroutes.info/es/stops/828138,,
126,,828139,,https://wikiroutes.info/es/stops/828139,,
127,,828140,,https://wikiroutes.info/es/stops/828140,,
128,,828141,,https://wikiroutes.info/es/stops/828141,,
129,,828142,,https://wikiroutes.info/es/stops/828142,,
130,,828143,,https://wikiroutes.info/es/stops/828143,,
131,,828144,,https://wikiroutes.info/es/stops/828144,,
132,,828145,,https://wikiroutes.info/es/stops/828145,,
133,,828146,,https://wikiroutes.info/es/stops/828146,,
134,,828147,,https://wikiroutes.info/es/stops/828147,,
135,,828163,,https://wikiroutes.info/es/stops/828163,,
136,,828148,,https://wikiroutes.info/es/stops/828148,,
137,,828149,,https://wikiroutes.info/es/stops/828149,,
138,,828150,,https://wikiroutes.info/es/stops/828150,,
139,,828151,,https://wikiroutes.info/es/stops/828151,,
140,,828152,,https://wikiroutes.info/es/stops/828152,,
141,,1019623,,https://wikiroutes.info/es/stops/1019623,,
142,,739326,,https://wikiroutes.info/es/stops/739326,,
143,,737624,,https://wikiroutes.info/es/stops/737624,,
144,,737625,,https://wikiroutes.info/es/stops/737625,,
145,,760676,,https://wikiroutes.info/es/stops/760676,,
146,,760677,,https://wikiroutes.info/es/stops/760677,,
147,,760678,,https://wikiroutes.info/es/stops/760678,,
148,,760679,,https://wikiroutes.info/es/stops/760679,,
149,,760680,,https://wikiroutes.info/es/stops/760680,,
150,,1192592,,https://wikiroutes.info/es/stops/1192592,,
151,,1050599,,https://wikiroutes.info/es/stops/1050599,,
152,,760623,,https://wikiroutes.info/es/stops/760623,,
153,,760622,,https://wikiroutes.info/es/stops/760622,,
154,,760621,,https://wikiroutes.info/es/stops/760621,,
155,,991540,,https://wikiroutes.info/es/stops/991540,,
156,,1466961,,https://wikiroutes.info/es/stops/1466961,,
157,,1466962,,https://wikiroutes.info/es/stops/1466962,,
158,,1050610,,https://wikiroutes.info/es/stops/1050610,,
159,,1050613,,https://wikiroutes.info/es/stops/1050613,,
160,,1303487,,https://wikiroutes.info/es/stops/1303487,,
161,,1304195,,https://wikiroutes.info/es/stops/1304195,,
162,,1073627,,https://wikiroutes.info/es/stops/1073627,,
163,,1304157,,https://wikiroutes.info/es/stops/1304157,,
