ref_raw,route_code,old_code,match_source,match_method,alias,origen,destino,empresa,color,id,title,ref,name,route_code_base,family_ok
X-SO67A-I,,,,,,,,,#555555,4783284,X-SO67A-I,X-SO67A-I,X-SO67A-I,SO67A,False
X-OO08-I,,,,,,,,,#555555,4783285,X-OO08-I,X-OO08-I,X-OO08-I,OO08,False
X-SCR30-I,1140,CR30,rutas.csv,old_code,,Callao,Lima,,#555555,4783555,X-SCR30-I,X-SCR30-I,X-SCR30-I,CR30,True
X-SCR21-I,,CR21,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Ijecorpjyl S.A.,#DFFF12,4784109,X-SCR21-I,X-SCR21-I,X-SCR21-I,CR21,True
X-SO67B-I,,,,,,,,,#555555,4784177,X-SO67B-I,X-SO67B-I,X-SO67B-I,SO67B,False
X-SO51A-I,,,,,,,,,#555555,4784229,X-SO51A-I,X-SO51A-I,X-SO51A-I,SO51A,False
X-SO50-I,,,,,,,,,#555555,4784272,X-SO50-I,X-SO50-I,X-SO50-I,SO50,False
X-SCR22-I,,CR22,rutas_anteriores.csv,old_only,,Callao,Lima,Empresa de Transportes Toro S.R.L.,#E81C1C,4784553,X-SCR22-I,X-SCR22-I,X-SCR22-I,CR22,True
X-SCR35-I,,CR35,rutas_anteriores.csv,old_only,,Ventanilla,Ventanilla,Empresa de Servicio de Transporte Lima Ventanilla Turismo S.A.C. (LIVENTUR),#136919,4784970,X-SCR35-I,X-SCR35-I,X-SCR35-I,CR35,True
X-SRC36-I,,,,,,,,,#555555,4785137,X-SCR36-I,X-SRC36-I,X-SCR36-I,SRC36,False
X-SCR38-I,1143,CR38,rutas.csv,old_code,,Callao,Santiago de Surco,,#555555,4785175,X-SCR38-I,X-SCR38-I,X-SCR38-I,CR38,True
X-SO71-I,,,,,,,,,#555555,4785186,X-SO71-I,X-SO71-I,X-SO71-I,SO71,False
X-SM19E-I,,,,,,,,,#555555,4785209,X-SM19E-I,X-SM19E-I,X-SM19E-I,SM19,False
,,,,,,,,,#555555,4787549,,,,,True
,,,,,,,,,#555555,4789418,,,,,True
X-SO39-I,,,,,,,,,#555555,4789971,X-SO39-I,X-SO39-I,X-SO39-I,SO39,False
X-SO94-I,,,,,,,,,#555555,4790541,X-SO94-I,X-SO94-I,X-SO94-I,SO94,False
X-SCR38A-X,,,,,,,,,#555555,4793441,X-SCR38A-I,X-SCR38A-X,X-SCR38A-I,CR38A,True
X-SM14-I,,,,,,,,,#555555,4794979,X-SM14-I,X-SM14-I,X-SM14-I,SM14,False
X-SO44-I,,,,,,,,,#555555,4795224,X-SO44-I,X-SO44-I,X-SO44-I,SO44,False
X-SO41-I,,,,,,,,,#555555,4795253,X-SO41-I,X-SO41-I,X-SO41-I,SO41,False
X-SM35A-I,,,,,,,,,#555555,4795397,X-SM35A-I,X-SM35A-I,X-SM35A-I,SM35A,False
X-SM35-I,,,,,,,,,#555555,4795439,X-SM35-I,X-SM35-I,X-SM35-I,SM35,False
X-SM41-I,,,,,,,,,#555555,4795468,X-SM41-I,X-SM41-I,X-SM41-I,SM41,False
X-SM28-I,,,,,,,,,#555555,4795501,X-SM28-I,X-SM28-I,X-SM28-I,SM28,False
X-SM27-I,,,,,,,,,#555555,4795550,X-SM27-I,X-SM27-I,X-SM27-I,SM27,False
X-SCR38B-I,,,,,,,,,#555555,4796307,X-SCR38B-I,X-SCR38B-I,X-SCR38B-I,CR38B,True
X-SM20B-I,,,,,,,,,#555555,4800366,X-SM20B-I,X-SM20B-I,X-SM20B-I,SM20B,False
X-SM20-I,,,,,,,,,#555555,4800382,X-SM20-I,X-SM20-I,X-SM20-I,SM20,False
X-SM20A-I,,,,,,,,,#555555,4800414,X-SM20A-I,X-SM20A-I,X-SM20A-I,SM20A,False
X-SO03-I,,,,,,,,,#555555,4800457,X-SO03-I,X-SO03-I,X-SO03-I,SO03,False
X-SO21-I,,,,,,,,,#555555,4807563,X-SO21-I,X-SO21-I,X-SO21-I,SO21,False
X-SO93-I,,,,,,,,,#555555,4812658,X-SO93-I,X-SO93-I,X-SO93-I,SO93,False
X-SM38-I,,,,,,,,,#555555,4813636,X-SM38-I,X-SM38-I,X-SM38-I,SM38,False
X-SO74-I,,,,,,,,,#555555,4813853,X-SO74-I,X-SO74-I,X-SO74-I,SO74,False
X-SM49-I,,,,,,,,,#555555,4815311,X-SM49-I,X-SM49-I,X-SM49-I,SM49,False
Carro rojo,,,,,,,,,#555555,4815747,C,Carro rojo,C,CARROROJO,False
X-SO12A-I,,,,,,,,,#555555,4815988,X-SO12A-I,X-SO12A-I,X-SO12A-I,SO12A,False
X-SM19-I,,,,,,,,,#555555,4816015,X-SM19-I,X-SM19-I,X-SM19-I,SM19,False
X-SM19C-I,,,,,,,,,#555555,4819917,X-SM19C-I,X-SM19C-I,X-SM19C-I,SM19C,False
,,,,,,,,,#555555,4820596,,,,,True
X-SM36-I,,,,,,,,,#555555,4821525,X-SM36-I,X-SM36-I,X-SM36-I,SM36,False
X-SO28-I,,,,,,,,,#555555,4822236,X-SO28-I,X-SO28-I,X-SO28-I,SO28,False
X-SO11-I,,,,,,,,,#555555,4829251,X-SO11-I,X-SO11-I,X-SO11-I,SO11,False
X-SO13-I,,,,,,,,,#555555,4829280,X-SO13-I,X-SO13-I,X-SO13-I,SO13,False
X-SO17-I,,,,,,,,,#555555,4829413,X-SO17-I,X-SO17-I,X-SO17-I,SO17,False
X-SO08-I,,,,,,,,,#555555,4833460,X-SO08-I,X-SO08-I,X-SO08-I,SO08,False
X-SM36A-I,,,,,,,,,#555555,4833485,X-SM36A-I,X-SM36A-I,X-SM36A-I,SM36A,False
X-SO26-I,,,,,,,,,#555555,4854044,X-SO26-I,X-SO26-I,X-SO26-I,SO26,False
X-SO16-I,,,,,,,,,#555555,4854419,X-SO16-I,X-SO16-I,X-SO16-I,SO16,False
X-SO33-I,,,,,,,,,#555555,4854478,X-SO33-I,X-SO33-I,X-SO33-I,SO33,False
X-SO18-I,,,,,,,,,#555555,4854573,X-SO18-I,X-SO18-I,X-SO18-I,SO18,False
X-SM33-I,,,,,,,,,#555555,4855223,X-SM33-I,X-SM33-I,X-SM33-I,SM33,False
X-SM05-I,,,,,,,,,#555555,4855264,X-SM05-I,X-SM05-I,X-SM05-I,SM05,False
X-SM30-I,,,,,,,,,#555555,4855687,X-SM30-I,X-SM30-I,X-SM30-I,SM30,False
X-SO37-I,,,,,,,,,#555555,4855692,X-SO37-I,X-SO37-I,X-SO37-I,SO37,False
X-SO14-I,,,,,,,,,#555555,4860869,X-SO14-I,X-SO14-I,X-SO14-I,SO14,False
X-SO92-I,,,,,,,,,#555555,4860928,X-SO92-I,X-SO92-I,X-SO92-I,SO92,False
X-SM26-I,,,,,,,,,#555555,4860978,X-SM26-I,X-SM26-I,X-SM26-I,SM26,False
X-SO55D-I,,,,,,,,,#555555,4861887,X-SO55D-I,X-SO55D-I,X-SO55D-I,SO55D,False
X-SO55-I,,,,,,,,,#555555,4861896,X-SO55-I,X-SO55-I,X-SO55-I,SO55,False
X-SM42A-I,,,,,,,,,#555555,4861898,X-SM42A-I,X-SM42A-I,X-SM42A-I,SM42A,False
X-SM42A-I,,,,,,,,,#555555,4861899,X-SM42A-I,X-SM42A-I,X-SM42A-I,SM42A,False
X-SM42-I,,,,,,,,,#555555,4861900,X-SM42-I,X-SM42-I,X-SM42-I,SM42,False
X-SM42B-I,,,,,,,,,#555555,4861905,X-SM42B-I,X-SM42B-I,X-SM42B-I,SM42B,False
X-SM09-I,,,,,,,,,#555555,4868516,X-SM09-I,X-SM09-I,X-SM09-I,SM09,False
X-SO05-I,,,,,,,,,#555555,4868530,X-SO05-I,X-SO05-I,X-SO05-I,SO05,False
X-SO35-I,,,,,,,,,#555555,4872103,X-SO35-I,X-SO35-I,X-SO35-I,SO35,False
X-SM40-I,,,,,,,,,#555555,4872150,X-SM40-I,X-SM40-I,X-SM40-I,SM40,False
X-SO04-I,,,,,,,,,#555555,5120775,X-SO04-I,X-SO04-I,X-SO04-I,SO04,False
X-SO07-I,,,,,,,,,#555555,5120936,X-SO07-I,X-SO07-I,X-SO07-I,SO07,False
X-SO31-I,,,,,,,,,#555555,5121851,X-SO31-I,X-SO31-I,X-SO31-I,SO31,False
X-SO20-I,,,,,,,,,#555555,5122273,X-SO20-I,X-SO20-I,X-SO20-I,SO20,False
X-SO30-I,,,,,,,,,#555555,5122349,X-SO30-I,X-SO30-I,X-SO30-I,SO30,False
X-SO12B-I,,,,,,,,,#555555,5122424,X-SO12B-I,X-SO12B-I,X-SO12B-I,SO12B,False
X-SO49A-I,,,,,,,,,#555555,5122516,X-SO49A-I,X-SO49A-I,X-SO49A-I,SO49A,False
X-SM24-I,,,,,,,,,#555555,5122602,X-SM24-I,X-SM24-I,X-SM24-I,SM24,False
X-SO15-I,,,,,,,,,#555555,5122704,X-SO15-I,X-SO15-I,X-SO15-I,SO15,False
X-SM19F-I,,,,,,,,,#555555,5122748,X-SM19F-I,X-SM19F-I,X-SM19F-I,SM19F,False
X-SO24-I,,,,,,,,,#555555,5122764,X-SO24-I,X-SO24-I,X-SO24-I,SO24,False
X-SO42-I,,,,,,,,,#555555,5123174,X-SO42-I,X-SO42-I,X-SO42-I,SO42,False
X-SM19G-I,,,,,,,,,#555555,5123429,X-SM19G-I,X-SM19G-I,X-SM19G-I,SM19G,False
X-ECR20-I,,CR20,rutas_anteriores.csv,old_only,,Callao,Villa María del Triunfo,Grupo Salamanca Express S.A.C.,#2E00F5,5141457,X-ECR20-I,X-ECR20-I,X-ECR20-I,CR20,True
RutaTuristica1,,,,,,,,,#555555,5582236,RutaTuristica1,,RutaTuristica1,RUTATURISTICA1,False
Mala - Bujama,,,,,,,,,#555555,6875057,,Mala - Bujama,,MALA-BUJAMA,False
Airport Express Lima,,,,,,,,,#555555,16812606,Airport Express Lima,,Airport Express Lima,AIRPORTEXPRESSLIMA,False
1007,1007,1502,rutas.csv,new_code,,Puente Piedra,Lima,,#555555,19413426,Ruta 1007,1007,Ruta 1007,1007,True
