seccion,grupo,ruta,ruta_color,alias,origen,destino,empresa,estado_de_la_ruta
anterior,Rutas 1500,1510,#7CBEF7,Ninguno,Carabayllo,Jesús María,Translima S.A.,Inactiva
anterior,Rutas 1500,1511,#1E7376,La O,Puente Piedra,San Miguel,Consorcio Vía S.A.C.,Activa
anterior,Rutas 1500,1512,#2E39C9,Ninguno,Carabayllo,San Miguel,Empresa de Transportes Castro Fuentes S.A. (KEVJIDSA),Inactiva
anterior,Rutas 1500,1513,#F22711,La N - La F,Carabayllo,Magdalena del Mar,Empresa de Transportes Nor Lima S.A. (ETNOLSA) / Grupo Empresarial El Rápido S.A.,Activa
anterior,Rutas 1500,1514,#F21000,La JC,Carabayllo,San Miguel,J.C. Bus S.A.C. / Grupo Empresarial El Rápido S.A.,Activa
anterior,Rutas 1500,1515,#A62999,La P1,Carabayllo,Magdalena del Mar,Empresa de Transportes Palmari S.A.,Inactiva
anterior,Rutas 1500,1516,#140099,La 41 - La Cocharcas,Puente Piedra,Jesús María,Empresa de Transportes José Leal Cocharcas S.A. (ETJLCSA),Inactiva
anterior,Rutas 1500,1517,#BABABA,Ninguno,Ancón,Jesús María,Empresa de Transportes Turismo e Inversiones Señor de La Soledad S.A. (SESOSA),Inactiva
anterior,Rutas 1500,1518,#017BA1,La 18,Carabayllo,Jesús María,Translima S.A.,Activa
anterior,Rutas 1500,1519,#E1963C,La B,Carabayllo,San Miguel,Empresa de Transportes y Servicios Nueva América S.A. (TRANSNASA),Inactiva
anterior,Rutas 1600,1601,#D1CCC0,Ninguno,Comas,San Luis,Empresa de Transportes y Servicios Túpac Amaru S.A.C. (ETSETASAC),Inactiva
anterior,Rutas 1600,1602,#26913B,Ninguno,Comas,San Luis,Empresa de Transportes y Servicios Catorce de Diciembre S.A.C.,Activa
anterior,Rutas 1600,1603,#BABABA,Ninguno,Puente Piedra,San Luis,Empresa de Transportes Turismo e Inversiones Señor de La Soledad S.A. (SESOSA),Inactiva
anterior,Rutas 1600,1604,#121213,La MG,Carabayllo,Lince,Empresa de Transportes Miguel Grau S.A. (ETMIGRASA),Activa
anterior,Rutas 1600,1605,#BDBDBD,Ninguno,Ancón,Jesús María,Empresa de Transportes Turismo e Inversiones Señor de La Soledad S.A. (SESOSA),Inactiva
anterior,Rutas 1600,1606,#25612B,La C,Ancón,San Luis,Empresa de Transportes y Servicios Virgen de La Puerta S.A. (VIPUSA),Inactiva
anterior,Rutas 1600,1607,#0000B3,Ninguno,Ancón,La Victoria,Empresa de Transportes y Servicios La Buena Estrella S.A.C. / Corporación Las Estrellas S.A.C. ​,Activa
anterior,Rutas 1600,1608,#0000BF,Ninguno,Ancón,La Victoria,Novobus S.A.C. / Corporación Las Estrellas S.A.C. ​,Activa
anterior,Rutas 1600,1609,#E08207,La A,Carabayllo,Miraflores,Comunicación Integral Turismo e Inversiones Urano Tours S.A.,Inactiva
anterior,Rutas 1600,1610,#56CCA1,Ninguno,Carabayllo,San Luis,Empresa de Transportes Once de Noviembre S.A. (EMPTONSA),Activa
anterior,Rutas 1600,1611,#D10F0F,La P,Puente Piedra,Lince ​,Empresa de Transportes Palmari S.A. / Grupo Empresarial El Rápido S.A.,Activa
anterior,Rutas 1600,1612,#264720,La C,Puente Piedra,Miraflores,Empresa de Transportes Santa Luzmila S.A. (ETSLUSA),Activa
anterior,Rutas 1600,1614,#140099,La 41 - La Cocharcas,Puente Piedra,Lince,Empresa de Transportes José Leal Cocharcas S.A. (ETJLCSA),Inactiva
anterior,Rutas 1600,1615,#D10F0F,La F,Carabayllo,Lince ​,Inversiones y Servicios CKF S.A. / Grupo Empresarial El Rápido S.A.,Activa
anterior,Rutas 1600,1616,#157D2A,La B,Ancón,San Luis ​,Empresa de Transportes y Servicios Virgen de La Puerta S.A. (VIPUSA),Inactiva
anterior,Rutas 1600,1617,#D10F0F,Ninguno,Carabayllo,Miraflores,Trans. Norcom Corporation S.A.C. / Grupo Empresarial El Rápido S.A.,Inactiva (proyectada por la empresa).
anterior,Rutas 1600,1618,#FA8E00,La B,Carabayllo,Lince,Empresa de Transportes y Servicios Nueva América S.A. (TRANSNASA),Activa
anterior,Rutas 1700,1701,#BABABA,Ninguno,Ancón,Santiago de Surco,Empresa de Transportes Turismo e Inversiones Señor de La Soledad S.A. (SESOSA),Activa
anterior,Rutas 1700,1702,#FA8E00,La A,Carabayllo,San Juan de Miraflores,Empresa de Transportes y Servicios Nueva América S.A. (TRANSNASA),Activa
anterior,Rutas 1700,1703,#247506,La 70,Puente Piedra,Chorrillos,Empresa de Transportes Perú S.A.C.,Activa
anterior,Rutas 1700,1704,#3B68FF,La V,Carabayllo,San Juan de Miraflores,Vencedores C&P Inversiones S.A.C.,Activa
anterior,Rutas 1700,1705,#FFA500,La SR,Carabayllo,Santiago de Surco,Empresa de Transportes Sinchi Roca S.A. (ETSIRSA),Activa
anterior,Rutas 1700,1706,#A6411A,La A,Carabayllo,Santiago de Surco,Comunicación Integral Turismo e Inversiones Urano Tours S.A.,Activa
anterior,Rutas 1700,1707,#079607,La C,Ancón,San Juan de Miraflores,Empresa de Transportes y Servicios Virgen de La Puerta S.A. (VIPUSA),Activa
anterior,Rutas 1800,1801,#00B8FF,La B39 - La C,Santa Rosa,Pachacámac,Empresa de Transportes Edilberto Ramos S.A.C. (ETERSAC),Activa
anterior,Rutas 1800,1802,#00B8FF,La A - El Chino,Puente Piedra,Villa El Salvador,Empresa de Transportes Urbano Los Chinos S.A. (ETUCHISA),Activa
anterior,Rutas 1800,1803,#5EA9FF,La C,Carabayllo,Villa El Salvador,Empresa de Transportes La Encantada S.A.,Inactiva
anterior,Rutas 1800,1804,#27781A,La A - el Anconero,Ancón,Pachacámac,Empresa de Transportes y Servicios Virgen de La Puerta S.A. (VIPUSA),Inactiva
anterior,Rutas 1900,1901,#1E7376,La O,Puente Piedra,La Perla,Consorcio Vía S.A.C.,Activa
anterior,Rutas 2100,2101,#128216,Ninguno,Independencia,Puente Piedra,Empresa de Transportes Urbano Víctor Raúl Haya de La Torre S.R.L. (EMTURSASRL),Inactiva
anterior,Rutas 2200,2201,#E5ED00,Ninguno,Independencia,Independencia,Empresa de Transportes Alimentadora El Volante y San Albino S.A. (ETAVASA),Inactiva
anterior,Rutas 2200,2202,#1425B8,Ninguno,Independencia,Independencia,Empresa de Transportes San Juan de Dios El Ermitaño S.A. (ETSJDESA),Inactiva
anterior,Rutas 2200,2203,#FFF70A,Ninguno,San Martín de Porres,San Martín de Porres,Empresa de Transportes Belaúnde Oeste S.A. (ETBOSA),Activa
anterior,Rutas 2200,2204,#00BBFF,La U - La A - La B - La C,San Martín de Porres,San Martín de Porres,Empresa de Transportes Nor Lima S.A. (ETNOLSA),Activa
anterior,Rutas 2200,2205,#FF40E5,Ninguno,Los Olivos,San Martín de Porres,Empresa de Transportes y Servicios Los Alizos S.A.,Inactiva
anterior,Rutas 2200,2206,#FF9924,Ninguno,San Martín de Porres,San Martín de Porres,Empresa de Transportes y Servicios 29 de Junio S.A. (ETSJUSA),Inactiva
anterior,Rutas 2200,2207,#002D87,Ninguno,San Martín de Porres,San Martín de Porres,Empresa de Transportes Señor de La Justicia S.A. (ETSEJUSA),Inactiva
anterior,Rutas 2200,2208,#FF1E05,Ninguno,San Martín de Porres,San Martín de Porres,Empresa de Transportes y Servicios Unidos Para Triunfar S.A. (ETSUTRISA),Activa
anterior,Rutas 2200,2209,#006614,La 73B,San Martín de Porres,Rímac,Empresa de Transportes Unidos de Pasajeros S.A. (ETUPSA),Activa
anterior,Rutas 2200,2210,#A5C5EB,La A,San Martín de Porres,Rímac,Empresa Virgen de Fátima S.A. (EVIFASA),Inactiva
anterior,Rutas 2200,2211,#FF0800,La 44B,San Martín de Porres,Rímac,Empresa de Transportes Diecisiete de Junio S.A. (ETRADIJUSA),Inactiva
anterior,Rutas 2200,2212,#0F8A01,La S2,San Martín de Porres,Rímac,Empresa de Transportes Especial Solidaridad S.A. (EMTESSA),Inactiva
anterior,Rutas 2300,2301,#CFA71B,La 45B,San Martín de Porres,San Juan de Lurigancho,Empresa de Transportes y Servicios 45 S.A.,Inactiva
anterior,Rutas 2300,2302,#A5C5EB,La A,San Martín de Porres,San Juan de Lurigancho,Empresa Virgen de Fátima S.A. (EVIFASA),Inactiva
